,launch_speed,launch_angle,Home Run or Out
12308,95.9,-7,Out
1064,104.3,7,Hit - Not Home Run
10219,80.1,-14,Out
1113,98.5,30,Home Run
5314,93.0,34,Home Run
14516,98.5,-5,Out
11885,82.9,-21,Out
7930,90.7,-7,Out
10574,80.0,69,Out
15236,91.0,-20,Out
820,72.1,36,Hit - Not Home Run
12413,92.0,-13,Out
81,54.2,34,Hit - Not Home Run
12893,101.1,33,Out
13402,77.7,19,Hit - Not Home Run
11093,93.9,32,Out
1794,97.7,18,Out
14051,54.7,19,Out
3588,84.4,3,Out
12120,83.4,-15,Out
183,98.9,-21,Hit - Not Home Run
1160,88.2,25,Out
14283,99.1,18,Out
8003,99.8,27,Out
4643,60.9,-13,Out
7157,93.1,32,Hit - Not Home Run
5556,94.7,29,Out
10872,73.0,46,Out
8186,82.9,-21,Out
7650,95.1,22,Out
14815,101.3,7,Hit - Not Home Run
6696,75.5,16,Hit - Not Home Run
6798,95.9,46,Out
7055,82.9,-21,Out
2163,86.2,27,Out
8322,106.9,-3,Out
5244,75.6,1,Out
14700,88.6,46,Out
8317,69.1,10,Out
3214,77.6,19,Hit - Not Home Run
10719,103.2,2,Hit - Not Home Run
2557,102.8,32,Home Run
4328,62.5,0,Out
4083,85.9,24,Out
3251,98.3,15,Hit - Not Home Run
3875,82.1,26,Out
8124,95.6,5,Out
5545,108.2,-13,Out
3164,61.2,-32,Out
7673,88.2,26,Out
5422,78.6,32,Out
15230,53.3,32,Hit - Not Home Run
4112,82.9,-21,Out
6354,80.0,69,Out
11344,83.7,-28,Out
7328,77.8,-4,Out
10177,99.7,-2,Out
12586,101.7,32,Hit - Not Home Run
14450,81.7,-23,Out
7419,101.8,10,Hit - Not Home Run
1745,96.0,58,Out
14683,102.5,-5,Hit - Not Home Run
12816,87.2,24,Out
11898,75.2,11,Out
2437,107.8,-5,Out
9025,98.0,32,Out
2352,90.3,-17,Hit - Not Home Run
10619,101.0,-4,Out
5066,64.2,-10,Out
329,81.7,-33,Out
6426,99.7,2,Hit - Not Home Run
895,95.4,15,Hit - Not Home Run
9581,92.6,30,Out
10453,90.0,-3,Out
9471,81.3,-19,Out
15541,86.6,26,Out
14263,80.0,69,Out
5153,67.6,-16,Out
6126,80.0,69,Out
5355,102.5,-6,Out
6083,96.3,-27,Out
775,100.9,26,Home Run
13855,99.2,29,Home Run
4892,105.7,3,Hit - Not Home Run
3099,80.0,69,Out
6046,98.9,28,Out
10338,80.0,69,Out
9315,103.9,26,Home Run
1353,82.9,-21,Out
1748,101.5,27,Home Run
911,92.7,9,Hit - Not Home Run
1609,82.9,-21,Out
2898,98.2,30,Home Run
12416,107.9,18,Out
1828,96.2,17,Out
6347,97.9,22,Out
3700,106.8,-5,Hit - Not Home Run
3856,91.4,-7,Out
12153,109.6,-12,Out
10491,92.5,-13,Out
3230,85.5,-6,Out
13888,52.8,-33,Hit - Not Home Run
13660,63.8,20,Out
10336,70.3,61,Out
3271,88.2,-42,Out
7593,77.2,-4,Out
1358,101.9,20,Out
347,101.9,30,Out
5524,114.6,-6,Out
930,92.6,-12,Hit - Not Home Run
370,85.8,23,Out
172,99.0,33,Out
684,81.0,29,Hit - Not Home Run
10993,86.4,20,Out
107,89.5,37,Out
12433,88.8,16,Hit - Not Home Run
14617,85.3,15,Hit - Not Home Run
10387,56.2,-34,Out
483,95.2,-29,Out
5889,87.6,28,Out
3532,106.2,3,Out
4108,94.1,-5,Hit - Not Home Run
4674,88.9,-16,Out
9305,87.7,23,Out
14976,78.7,-46,Out
3518,82.9,-21,Out
131,102.1,24,Hit - Not Home Run
12142,96.6,3,Out
13654,75.9,54,Out
3411,97.8,21,Out
11193,84.9,13,Hit - Not Home Run
6662,80.0,69,Out
15430,92.8,13,Hit - Not Home Run
13072,72.4,-15,Out
8787,82.9,-21,Out
5366,88.6,-24,Out
5641,104.4,0,Hit - Not Home Run
9452,96.9,24,Home Run
4698,90.3,-17,Hit - Not Home Run
10357,104.5,-18,Hit - Not Home Run
6441,92.7,48,Out
8830,94.9,46,Out
1363,96.5,17,Hit - Not Home Run
942,109.3,34,Home Run
14431,56.1,-30,Out
9959,102.6,17,Out
9956,102.7,30,Home Run
5778,102.5,23,Hit - Not Home Run
11786,93.4,46,Out
3908,89.2,39,Out
7139,71.4,5,Out
11568,103.3,14,Hit - Not Home Run
1097,91.5,27,Out
8070,82.9,-21,Out
9035,47.0,-21,Out
9206,110.6,21,Hit - Not Home Run
89,90.8,42,Out
4429,69.7,-55,Out
11360,101.4,38,Home Run
6452,98.9,16,Out
4561,94.9,16,Hit - Not Home Run
5835,80.0,69,Out
5389,56.1,-36,Out
2130,83.6,-9,Out
13263,80.0,69,Out
10364,82.9,-21,Out
13734,81.6,24,Out
6410,84.6,-6,Out
5819,102.9,10,Hit - Not Home Run
9835,99.1,14,Hit - Not Home Run
9329,82.9,-21,Out
498,81.4,-19,Out
4060,100.3,22,Hit - Not Home Run
7299,71.3,-25,Out
8812,91.3,-1,Out
11143,75.4,31,Out
12290,92.3,42,Out
14546,100.9,29,Home Run
13620,102.7,36,Hit - Not Home Run
12790,75.7,-28,Out
13924,87.2,44,Out
11846,90.9,-13,Out
1486,88.2,48,Out
3210,97.4,-9,Out
3051,89.7,3,Out
5770,91.7,-14,Out
10690,80.0,69,Out
11073,87.2,18,Hit - Not Home Run
5861,82.9,-21,Out
7119,61.3,-23,Out
15131,100.9,-9,Out
6650,88.6,35,Out
10732,92.0,-30,Out
3630,98.8,22,Hit - Not Home Run
4129,101.7,4,Hit - Not Home Run
238,98.0,1,Out
10157,104.9,4,Out
6524,90.3,18,Hit - Not Home Run
1336,85.2,56,Out
12215,86.0,1,Out
10293,91.5,-19,Out
3548,100.6,4,Hit - Not Home Run
3637,82.5,12,Hit - Not Home Run
10295,76.5,-16,Out
2653,82.9,-21,Out
11591,73.4,-5,Out
13456,93.7,47,Out
1548,81.3,-4,Out
4210,94.7,-30,Out
1733,102.0,24,Home Run
7236,83.8,51,Out
2862,80.0,69,Out
6049,98.3,20,Out
6048,100.5,-7,Out
6856,95.4,38,Out
5920,95.2,16,Out
14456,105.2,24,Home Run
4557,107.1,19,Hit - Not Home Run
774,89.9,52,Out
6702,91.3,5,Out
8854,99.8,4,Hit - Not Home Run
3648,80.0,69,Out
6769,92.3,26,Out
6133,86.5,22,Out
4257,110.6,9,Out
13998,40.0,-36,Hit - Not Home Run
9752,86.7,14,Hit - Not Home Run
15035,67.8,-2,Out
10502,89.8,7,Out
9052,77.5,28,Hit - Not Home Run
13024,86.8,14,Hit - Not Home Run
7736,88.7,57,Out
3778,97.2,19,Out
15053,95.2,26,Home Run
7010,82.0,-15,Out
2418,101.2,-3,Hit - Not Home Run
11961,97.7,2,Out
6958,74.4,25,Hit - Not Home Run
4864,100.5,42,Out
7555,100.3,29,Home Run
4041,102.3,8,Out
12961,98.9,21,Out
14906,104.6,-15,Hit - Not Home Run
12630,81.7,-16,Out
13571,74.8,-15,Out
13811,104.6,13,Hit - Not Home Run
3895,79.8,-35,Out
6936,94.0,3,Hit - Not Home Run
2637,91.5,13,Hit - Not Home Run
13860,93.3,9,Out
13768,106.5,15,Hit - Not Home Run
3883,90.4,28,Out
54,76.8,41,Out
2283,73.7,-9,Hit - Not Home Run
7370,80.0,69,Out
11600,98.3,14,Hit - Not Home Run
3762,90.2,22,Out
592,99.7,35,Out
1988,94.1,23,Out
8932,69.5,7,Out
3704,103.0,20,Hit - Not Home Run
8319,89.8,-25,Out
11521,77.5,21,Hit - Not Home Run
8620,61.6,-34,Out
246,100.6,2,Hit - Not Home Run
8505,74.1,-24,Out
14840,90.2,21,Hit - Not Home Run
8658,99.6,18,Out
15134,88.4,8,Out
4150,102.8,12,Hit - Not Home Run
6479,91.3,21,Hit - Not Home Run
3973,101.8,24,Hit - Not Home Run
109,94.7,34,Out
15632,86.7,5,Out
3224,99.1,18,Hit - Not Home Run
4967,106.2,18,Out
5527,87.3,53,Out
10379,105.8,23,Hit - Not Home Run
14230,106.2,-3,Out
7983,79.1,22,Hit - Not Home Run
14625,92.3,1,Hit - Not Home Run
6612,52.1,-71,Hit - Not Home Run
1389,86.9,19,Hit - Not Home Run
2502,95.5,-28,Out
13102,89.2,43,Out
11968,81.3,17,Hit - Not Home Run
14321,82.9,-21,Out
6669,90.3,-17,Hit - Not Home Run
2505,61.1,30,Out
12055,76.0,8,Hit - Not Home Run
2161,102.5,13,Hit - Not Home Run
4960,104.2,5,Hit - Not Home Run
2870,80.9,23,Out
4650,101.0,-5,Out
14312,88.9,5,Out
339,80.0,69,Out
9410,93.1,53,Out
11192,108.4,9,Hit - Not Home Run
10218,98.2,34,Home Run
9708,73.6,15,Out
6045,98.6,2,Hit - Not Home Run
7150,94.2,0,Out
4216,84.2,5,Hit - Not Home Run
11765,106.0,23,Home Run
12180,102.2,-5,Out
1354,79.2,-22,Out
11085,80.0,69,Out
6005,83.2,16,Hit - Not Home Run
2885,87.7,43,Out
13426,94.3,21,Out
7870,81.2,20,Hit - Not Home Run
2754,83.7,9,Hit - Not Home Run
6721,85.6,23,Out
2458,66.4,-41,Out
7367,91.6,27,Out
2780,101.6,-10,Out
6307,94.8,47,Out
14363,86.0,38,Out
11910,82.9,-21,Out
12783,87.5,27,Out
14832,59.3,27,Out
9803,106.8,26,Home Run
10770,45.7,-62,Hit - Not Home Run
5565,95.3,-12,Out
5553,84.9,5,Hit - Not Home Run
11204,71.9,80,Out
8067,80.1,58,Out
4765,95.2,18,Out
15636,55.3,83,Out
3975,91.2,23,Out
11964,89.8,6,Hit - Not Home Run
2719,94.3,23,Out
15128,103.7,25,Home Run
6270,89.8,46,Out
7022,75.5,32,Hit - Not Home Run
8116,72.3,45,Out
6325,74.7,4,Out
12661,71.0,-27,Out
582,96.2,-13,Out
2134,84.6,19,Hit - Not Home Run
12635,98.3,-1,Out
14517,80.0,69,Out
12617,102.5,23,Home Run
2798,75.8,37,Out
7433,97.1,12,Hit - Not Home Run
1710,104.0,22,Home Run
7974,100.6,5,Hit - Not Home Run
7719,40.7,1,Out
2404,78.9,-38,Hit - Not Home Run
7617,62.8,-5,Out
7590,82.1,35,Out
5907,77.4,38,Out
12036,97.6,37,Out
2584,82.9,-21,Out
7659,94.5,-12,Out
8380,108.5,16,Hit - Not Home Run
10631,85.7,34,Out
276,90.0,1,Hit - Not Home Run
13475,77.3,18,Hit - Not Home Run
3389,92.6,36,Out
11641,83.8,13,Hit - Not Home Run
14639,91.1,18,Out
1362,97.4,35,Hit - Not Home Run
5396,76.1,34,Out
6205,78.8,18,Hit - Not Home Run
5106,103.9,28,Home Run
7820,61.4,-16,Out
4677,82.9,-21,Out
13082,96.7,-6,Out
4964,101.7,17,Out
14075,78.3,-47,Out
2760,93.2,51,Out
3987,82.0,51,Out
1043,89.6,12,Hit - Not Home Run
4424,99.7,8,Hit - Not Home Run
6753,102.2,30,Out
13105,89.7,-1,Out
13615,101.9,6,Out
7765,67.9,-15,Out
10830,76.9,-44,Out
14628,101.8,29,Home Run
9673,93.4,4,Hit - Not Home Run
6773,68.4,-18,Out
7507,87.2,56,Out
12139,80.0,69,Out
11077,95.4,24,Home Run
1929,71.0,-12,Out
2792,70.7,2,Out
14957,90.4,27,Out
6086,89.3,55,Out
12403,88.5,43,Out
8096,104.5,-2,Hit - Not Home Run
10652,82.9,-21,Out
13485,98.4,9,Out
5112,103.6,42,Out
14643,86.2,-8,Hit - Not Home Run
6056,73.6,-22,Out
7616,71.9,35,Out
10323,78.9,-23,Out
2402,81.7,30,Out
5122,82.0,42,Out
1488,70.0,-27,Out
9214,105.1,13,Hit - Not Home Run
7343,97.9,17,Hit - Not Home Run
13692,66.9,69,Out
15205,105.4,21,Home Run
9095,106.2,31,Home Run
3792,98.2,31,Out
3406,67.6,57,Out
13743,105.5,26,Hit - Not Home Run
5856,92.0,32,Hit - Not Home Run
3818,82.3,38,Out
1335,66.1,16,Out
6147,99.3,30,Home Run
15043,72.0,-14,Out
9104,73.6,35,Hit - Not Home Run
3414,98.1,13,Out
12232,82.1,15,Hit - Not Home Run
9054,90.5,1,Out
5727,73.3,56,Out
11754,80.6,-5,Out
14908,85.9,-24,Out
14308,102.1,22,Hit - Not Home Run
13666,82.9,-21,Out
4053,102.1,18,Hit - Not Home Run
10832,81.9,-16,Out
8551,76.0,15,Hit - Not Home Run
1800,92.7,9,Out
8926,65.4,-50,Out
10180,105.9,-6,Hit - Not Home Run
11405,86.0,45,Out
7831,82.0,30,Out
14872,105.9,15,Out
3870,62.4,57,Out
3749,93.4,21,Hit - Not Home Run
15046,97.5,21,Out
13959,78.8,40,Hit - Not Home Run
6413,64.1,87,Out
3137,82.9,-21,Out
6242,102.4,-3,Out
