,launch_speed,launch_angle,Home Run or Out
2924,90.8,3,Hit - Not Home Run
2539,86.0,-14,Out
6473,86.1,30,Out
14674,79.6,15,Hit - Not Home Run
12074,55.0,19,Hit - Not Home Run
5573,91.1,-24,Out
8958,96.5,29,Hit - Not Home Run
7488,80.0,69,Out
14457,92.8,-12,Out
10643,89.2,39,Out
9556,100.3,20,Out
12806,97.5,52,Out
3083,103.5,-3,Hit - Not Home Run
8504,101.9,-1,Hit - Not Home Run
10938,71.9,-33,Out
7651,105.4,17,Hit - Not Home Run
14916,91.0,18,Out
15155,93.8,-21,Out
14486,93.8,45,Out
15241,100.7,11,Hit - Not Home Run
8806,87.9,3,Out
10846,109.4,7,Hit - Not Home Run
2208,90.3,-17,Hit - Not Home Run
12949,76.6,11,Hit - Not Home Run
7334,98.1,36,Out
13824,93.5,10,Out
613,51.1,-47,Out
5718,91.7,-40,Out
1087,101.3,-11,Hit - Not Home Run
7142,88.2,22,Hit - Not Home Run
2846,81.4,1,Out
10461,102.8,35,Home Run
13189,97.6,48,Out
6629,89.5,13,Hit - Not Home Run
11536,82.0,42,Out
8222,67.4,-4,Out
9986,102.8,-1,Out
13851,99.1,23,Hit - Not Home Run
10999,98.1,35,Home Run
2322,82.2,29,Out
12624,103.0,9,Hit - Not Home Run
12903,99.3,12,Hit - Not Home Run
12458,93.4,-12,Out
12431,82.6,60,Out
9713,98.4,45,Out
1921,84.5,-19,Out
543,106.9,24,Hit - Not Home Run
8141,87.0,0,Out
9877,100.1,23,Out
13427,95.5,5,Hit - Not Home Run
7700,85.5,51,Out
8762,89.0,12,Hit - Not Home Run
4481,89.5,-28,Out
13487,104.3,15,Hit - Not Home Run
2650,76.2,40,Out
11029,62.7,-25,Out
10592,91.4,22,Out
2481,108.5,-10,Hit - Not Home Run
4877,81.8,47,Out
9731,110.9,6,Hit - Not Home Run
4584,75.1,-30,Out
3235,93.6,15,Hit - Not Home Run
14201,96.5,25,Out
9427,72.3,-12,Out
10580,103.4,9,Hit - Not Home Run
14932,109.9,-2,Hit - Not Home Run
9352,82.9,-21,Out
5003,90.5,15,Hit - Not Home Run
10457,96.7,-12,Hit - Not Home Run
328,46.6,41,Out
96,69.8,-34,Out
1740,85.3,11,Hit - Not Home Run
4155,64.6,27,Hit - Not Home Run
510,101.8,5,Hit - Not Home Run
8794,95.9,14,Hit - Not Home Run
2675,66.4,-8,Out
2959,105.4,-3,Hit - Not Home Run
15186,101.3,36,Home Run
15173,74.9,62,Out
14555,89.8,23,Hit - Not Home Run
9401,65.1,12,Out
13682,99.2,50,Out
6833,92.8,34,Out
14922,60.9,-5,Hit - Not Home Run
3844,79.4,21,Hit - Not Home Run
4106,78.2,19,Hit - Not Home Run
8367,82.9,-21,Out
12214,95.6,26,Hit - Not Home Run
7728,105.7,25,Out
5594,105.1,-13,Out
12187,78.0,37,Out
7127,76.3,13,Hit - Not Home Run
15357,90.4,15,Hit - Not Home Run
417,97.2,10,Out
5455,79.7,17,Hit - Not Home Run
8468,98.3,35,Out
13498,90.7,4,Out
5714,110.0,10,Out
14773,24.9,-21,Out
6428,82.9,-21,Out
12842,88.8,20,Hit - Not Home Run
12518,100.7,33,Out
13741,93.5,31,Out
4024,92.4,29,Out
5633,92.7,-13,Out
1963,88.3,77,Out
4357,73.5,-53,Hit - Not Home Run
1636,87.1,17,Hit - Not Home Run
3323,71.5,31,Hit - Not Home Run
3346,86.8,19,Hit - Not Home Run
4647,90.8,33,Out
6451,69.2,4,Out
12978,103.1,5,Hit - Not Home Run
12994,101.2,40,Out
5360,79.9,42,Out
9193,113.7,5,Hit - Not Home Run
426,98.5,1,Hit - Not Home Run
6754,87.0,27,Out
806,61.7,32,Out
7862,92.7,13,Hit - Not Home Run
641,65.8,-6,Out
13535,98.8,33,Out
1940,103.1,0,Hit - Not Home Run
5152,96.3,12,Hit - Not Home Run
2588,62.8,-44,Out
7668,34.7,41,Out
2938,47.3,-53,Hit - Not Home Run
6032,99.7,12,Hit - Not Home Run
6000,101.6,19,Out
12047,109.5,4,Hit - Not Home Run
8080,91.4,19,Out
1608,107.1,12,Hit - Not Home Run
11411,100.3,15,Out
3561,83.6,-1,Out
6533,102.4,28,Home Run
14925,66.2,-43,Out
12562,70.4,-1,Hit - Not Home Run
7028,65.8,65,Out
2952,86.7,27,Out
1830,89.5,22,Out
2054,105.0,10,Hit - Not Home Run
5318,109.9,-7,Hit - Not Home Run
8816,100.9,12,Hit - Not Home Run
203,95.7,11,Hit - Not Home Run
14600,85.0,38,Out
4630,99.0,2,Hit - Not Home Run
2868,82.9,-21,Out
10676,80.0,69,Out
4622,102.4,10,Out
8145,83.6,-30,Out
7905,82.9,-21,Out
1051,99.8,-8,Out
3388,102.1,-11,Out
12715,97.6,12,Out
10500,79.2,-18,Out
2416,58.8,23,Hit - Not Home Run
3602,68.3,86,Out
1244,82.5,-6,Out
14590,89.6,34,Out
10243,103.8,17,Hit - Not Home Run
10231,77.2,52,Out
10836,102.8,22,Home Run
7016,82.9,-21,Out
15428,103.3,25,Home Run
2758,83.2,35,Out
15024,101.8,26,Hit - Not Home Run
1232,100.0,28,Out
6264,92.8,2,Out
6276,106.1,36,Home Run
15377,98.4,32,Hit - Not Home Run
14315,93.1,35,Out
2037,93.6,11,Hit - Not Home Run
4276,102.1,28,Home Run
2207,100.7,19,Home Run
12882,97.2,-5,Out
3150,93.2,9,Hit - Not Home Run
3802,55.7,49,Out
5392,109.0,-5,Out
7006,56.5,-1,Out
11638,103.3,11,Hit - Not Home Run
9302,73.7,-11,Out
4625,82.9,-17,Out
1605,80.7,-2,Out
10873,98.2,-3,Hit - Not Home Run
2524,85.2,27,Out
14649,91.4,18,Hit - Not Home Run
7721,61.7,-9,Out
9301,63.1,-14,Hit - Not Home Run
15466,79.8,8,Out
7134,82.9,-21,Out
3682,100.1,10,Hit - Not Home Run
8607,69.1,24,Hit - Not Home Run
960,64.7,-41,Out
2384,107.0,-7,Out
5491,106.7,-7,Hit - Not Home Run
14432,80.0,69,Out
7014,82.9,-21,Out
13914,94.6,-7,Out
11715,80.0,69,Out
3192,79.5,9,Out
10825,65.5,-77,Out
7177,101.6,24,Hit - Not Home Run
3982,94.7,24,Out
13131,94.7,38,Out
13061,100.3,14,Hit - Not Home Run
1041,97.0,33,Out
5868,92.9,26,Out
6516,82.6,39,Out
4834,84.1,42,Out
4298,87.6,-10,Out
1945,86.0,23,Out
10593,89.2,-29,Hit - Not Home Run
7461,101.7,28,Out
4737,58.9,47,Out
14941,89.0,-17,Out
11217,80.0,69,Out
1749,93.9,19,Out
5592,110.3,6,Hit - Not Home Run
97,83.6,42,Out
8370,102.8,-5,Out
6995,96.0,18,Hit - Not Home Run
7973,98.8,21,Out
3524,68.5,-25,Out
14505,91.2,11,Out
15290,102.4,-4,Out
5694,72.7,37,Out
12942,107.7,30,Home Run
10761,82.8,-5,Hit - Not Home Run
6805,67.9,-16,Out
11449,101.5,35,Out
12731,95.8,20,Hit - Not Home Run
15571,79.6,1,Out
11385,95.8,17,Hit - Not Home Run
4572,101.7,32,Out
13009,67.7,-8,Out
10296,88.7,5,Hit - Not Home Run
13488,79.1,10,Out
11440,104.4,17,Hit - Not Home Run
10799,108.2,5,Hit - Not Home Run
5030,86.5,19,Out
11111,62.3,24,Hit - Not Home Run
15562,82.9,-21,Out
9003,56.7,67,Out
9139,61.3,-25,Out
14311,104.1,28,Home Run
3190,89.0,8,Hit - Not Home Run
9760,111.0,19,Hit - Not Home Run
14225,78.4,-32,Out
8265,109.7,35,Home Run
6417,102.6,13,Hit - Not Home Run
8990,94.0,62,Out
4364,98.3,14,Hit - Not Home Run
6888,96.0,6,Hit - Not Home Run
15305,90.4,37,Out
6884,93.3,-19,Out
11922,75.3,3,Hit - Not Home Run
10779,22.9,18,Out
8728,89.0,39,Out
4723,94.5,20,Out
14275,92.3,27,Out
12999,60.4,39,Hit - Not Home Run
14093,100.0,23,Hit - Not Home Run
6204,94.6,12,Out
12879,84.6,-26,Out
6359,71.6,35,Out
2116,86.7,-32,Out
9629,106.8,16,Out
6269,87.1,65,Out
8721,97.6,11,Hit - Not Home Run
12495,100.1,-14,Out
7215,89.2,39,Out
11045,101.9,-4,Out
15638,72.7,-24,Out
7654,99.8,31,Home Run
15403,105.9,5,Out
1306,88.1,26,Out
13694,94.7,12,Out
12570,104.2,28,Home Run
8807,73.6,11,Hit - Not Home Run
12504,81.6,22,Out
5974,97.9,7,Hit - Not Home Run
4901,68.0,19,Hit - Not Home Run
15278,105.8,9,Hit - Not Home Run
7950,97.5,14,Hit - Not Home Run
14408,82.9,-21,Out
13981,74.2,35,Out
10959,77.5,9,Out
289,93.5,21,Hit - Not Home Run
11447,91.3,13,Hit - Not Home Run
14776,98.3,-17,Hit - Not Home Run
4264,104.3,22,Hit - Not Home Run
14334,105.9,25,Home Run
11866,76.4,3,Out
9512,73.5,-27,Out
639,97.6,5,Out
1797,77.2,34,Out
14424,101.0,-4,Out
3035,104.3,7,Hit - Not Home Run
14411,82.3,7,Out
11422,86.8,-25,Out
9267,100.5,-7,Out
5752,108.8,-2,Hit - Not Home Run
737,98.0,18,Hit - Not Home Run
14279,88.2,36,Out
11210,77.8,43,Out
12572,91.9,-12,Out
8391,90.3,-17,Hit - Not Home Run
11764,80.0,69,Out
11850,76.5,55,Out
12073,62.0,33,Hit - Not Home Run
2601,69.6,17,Hit - Not Home Run
14164,88.2,38,Out
6258,82.6,46,Out
13489,71.4,36,Hit - Not Home Run
15592,87.0,0,Out
4606,102.5,41,Out
992,102.5,25,Home Run
13915,87.0,-1,Out
13241,73.0,4,Out
6196,99.7,37,Out
2181,89.5,40,Out
9743,101.1,25,Home Run
7267,80.8,-44,Out
10584,86.3,-21,Out
1687,90.3,-17,Hit - Not Home Run
8311,91.8,10,Hit - Not Home Run
7848,100.3,23,Out
93,74.2,5,Out
8195,84.1,54,Out
11035,110.2,10,Hit - Not Home Run
4898,97.8,5,Out
3600,81.0,51,Hit - Not Home Run
13084,85.4,29,Out
14040,93.2,17,Hit - Not Home Run
9172,80.0,69,Out
817,93.3,17,Hit - Not Home Run
8799,78.3,5,Hit - Not Home Run
3645,94.3,8,Out
14176,85.7,0,Out
8677,92.2,18,Out
14035,80.0,69,Out
14197,98.1,18,Hit - Not Home Run
10139,80.0,69,Out
6031,91.0,-8,Out
13617,99.4,45,Out
693,110.9,15,Hit - Not Home Run
6635,53.0,44,Out
984,82.9,-21,Out
1876,92.7,14,Hit - Not Home Run
10668,79.9,4,Out
2676,99.8,20,Hit - Not Home Run
12779,67.9,27,Hit - Not Home Run
4439,82.1,-35,Out
2529,109.0,7,Hit - Not Home Run
6697,73.6,38,Hit - Not Home Run
3509,80.0,69,Out
7933,97.3,34,Out
13565,82.2,39,Out
13730,103.2,1,Out
10519,93.8,42,Out
9247,80.0,69,Out
7619,86.9,-4,Out
7819,94.2,5,Hit - Not Home Run
15068,97.6,25,Hit - Not Home Run
15292,93.4,39,Hit - Not Home Run
550,80.1,0,Out
6072,107.0,24,Home Run
9275,79.3,-19,Out
8987,71.0,64,Out
13225,85.1,6,Hit - Not Home Run
11322,80.6,62,Out
9393,82.9,-21,Out
7051,80.0,69,Out
7396,102.1,30,Home Run
6353,96.1,27,Home Run
15051,86.3,28,Out
11109,97.1,21,Out
11380,73.0,35,Out
3191,85.8,36,Out
2498,95.8,14,Hit - Not Home Run
13497,104.0,35,Home Run
9605,103.8,27,Hit - Not Home Run
12638,103.5,20,Out
10577,99.1,-4,Out
9362,92.4,28,Out
15180,65.6,-10,Out
9927,89.4,74,Out
588,90.1,29,Out
12420,102.6,43,Out
10800,107.4,18,Out
15645,82.9,-21,Out
12509,91.2,30,Out
3097,91.4,37,Out
555,80.0,69,Out
1271,91.6,11,Out
11181,101.9,-14,Out
13135,54.2,-72,Out
3619,87.4,39,Out
5568,100.1,-3,Hit - Not Home Run
13445,105.7,18,Hit - Not Home Run
15373,88.8,39,Out
9159,106.6,33,Home Run
12692,103.9,23,Hit - Not Home Run
3790,68.1,61,Out
3785,95.5,24,Out
13150,104.7,25,Hit - Not Home Run
1566,82.8,27,Out
1129,69.5,61,Out
14740,96.6,11,Hit - Not Home Run
6544,91.7,13,Hit - Not Home Run
6006,96.6,19,Out
4805,103.9,-10,Out
13632,100.0,27,Hit - Not Home Run
2004,92.5,27,Out
11107,75.4,40,Out
14537,98.5,32,Out
15216,97.2,41,Out
12845,88.7,-9,Out
887,109.9,0,Out
8842,41.5,8,Out
11581,64.1,-27,Hit - Not Home Run
15039,80.6,27,Out
11122,104.5,21,Hit - Not Home Run
487,82.9,-47,Out
9908,89.2,39,Out
9507,68.0,-1,Hit - Not Home Run
4202,79.4,-16,Out
12968,94.6,32,Hit - Not Home Run
9876,93.2,19,Out
1084,106.4,-26,Out
10242,107.6,21,Home Run
392,100.7,33,Home Run
3691,47.7,39,Out
6972,74.1,-26,Out
9094,86.0,-9,Hit - Not Home Run
9328,99.3,21,Hit - Not Home Run
15263,104.1,14,Hit - Not Home Run
10170,91.4,45,Out
5163,93.1,-1,Hit - Not Home Run
11059,100.5,32,Out
5909,52.8,81,Out
12371,69.0,40,Hit - Not Home Run
15599,80.1,56,Out
9616,90.7,-13,Out
1398,82.9,-21,Out
7412,101.2,18,Hit - Not Home Run
11134,107.5,11,Hit - Not Home Run
8097,84.9,31,Out
10925,84.8,45,Out
1314,101.0,20,Out
12945,93.0,12,Out
200,105.8,14,Hit - Not Home Run
2771,98.9,14,Out
4936,82.4,5,Hit - Not Home Run
13032,101.7,2,Hit - Not Home Run
11340,100.4,-18,Out
11513,87.9,34,Out
1744,73.0,21,Hit - Not Home Run
7753,93.2,-13,Out
7542,82.3,18,Hit - Not Home Run
4326,109.6,26,Home Run
6259,101.7,21,Hit - Not Home Run
5512,82.9,-21,Out
11267,72.1,-7,Out
2483,91.6,1,Hit - Not Home Run
15537,90.0,15,Hit - Not Home Run
2553,84.1,26,Out
7040,77.6,2,Out
4487,100.0,-1,Hit - Not Home Run
15116,90.1,37,Out
12374,100.8,36,Out
5983,95.7,-15,Out
9126,102.9,36,Out
15652,73.1,31,Out
11928,93.6,9,Out
13904,103.3,16,Out
12013,74.8,-9,Out
512,96.5,10,Out
428,105.6,32,Home Run
2198,96.6,25,Hit - Not Home Run
6123,91.8,46,Out
3949,82.8,-3,Out
2138,91.8,25,Out
6565,85.7,-9,Out
8927,91.2,-2,Out
14870,86.1,52,Out
10670,93.0,36,Out
1628,103.8,16,Out
12507,87.6,52,Out
15031,82.9,-21,Out
3029,97.8,-21,Out
12,80.7,4,Out
6050,72.0,-38,Out
5486,101.1,38,Out
14623,49.7,15,Out
5807,92.8,-14,Out
6935,81.0,-24,Out
15499,100.2,5,Out
14961,80.0,69,Out
4289,93.8,-6,Out
9566,105.9,-5,Out
6118,73.2,54,Hit - Not Home Run
2363,86.9,12,Hit - Not Home Run
2469,86.8,14,Hit - Not Home Run
14855,93.2,17,Hit - Not Home Run
5241,73.1,44,Hit - Not Home Run
12656,83.9,41,Out
352,99.8,21,Out
15583,83.3,4,Out
11634,84.8,13,Out
2062,75.4,48,Out
5023,100.3,7,Hit - Not Home Run
11269,93.5,32,Out
10141,92.3,11,Hit - Not Home Run
13652,101.2,37,Out
14593,94.9,3,Hit - Not Home Run
3522,74.0,10,Out
10470,93.5,52,Out
7394,95.8,3,Out
2403,94.1,5,Out
2127,103.6,3,Hit - Not Home Run
5942,83.3,62,Out
5851,103.4,28,Home Run
1645,93.3,48,Out
2262,95.7,-7,Hit - Not Home Run
4747,99.0,15,Hit - Not Home Run
2881,51.0,-26,Out
9153,100.0,10,Hit - Not Home Run
7611,65.9,-23,Out
13522,98.9,20,Hit - Not Home Run
4968,93.3,46,Out
4786,93.5,19,Hit - Not Home Run
11877,89.6,29,Out
10645,90.2,-16,Out
9583,100.0,-5,Out
14705,99.9,24,Out
3321,93.2,1,Out
12287,93.2,32,Home Run
8029,108.7,24,Home Run
7308,80.0,69,Out
1567,59.9,-25,Out
301,94.0,55,Out
13587,93.9,45,Out
3732,100.3,6,Out
4935,104.6,5,Hit - Not Home Run
388,98.2,29,Out
7135,96.2,4,Hit - Not Home Run
8454,98.8,4,Out
9472,89.8,45,Out
12136,82.9,-21,Out
11605,69.3,23,Hit - Not Home Run
2607,87.0,20,Out
4399,93.0,44,Out
8905,63.4,-35,Out
15266,75.7,-51,Hit - Not Home Run
121,102.9,-8,Out
13318,97.3,19,Hit - Not Home Run
8332,71.4,-13,Out
2164,81.2,14,Hit - Not Home Run
4171,82.9,-21,Out
3515,89.2,39,Out
3911,97.0,23,Out
3598,91.6,29,Out
15331,96.4,25,Out
7243,97.1,19,Out
4446,104.5,12,Hit - Not Home Run
5936,85.6,52,Out
2916,94.7,23,Out
7123,71.5,25,Hit - Not Home Run
9892,61.7,79,Out
14800,76.1,64,Out
9049,86.1,35,Out
524,86.8,-6,Out
4684,105.0,20,Out
11086,71.8,0,Out
1611,106.1,11,Hit - Not Home Run
10682,99.7,8,Hit - Not Home Run
12233,102.2,2,Hit - Not Home Run
5671,93.6,-18,Out
648,83.3,2,Hit - Not Home Run
1255,82.9,-21,Out
12881,92.8,52,Out
11613,94.6,-9,Out
870,101.4,17,Out
3533,92.1,31,Out
9609,102.4,22,Hit - Not Home Run
14297,104.2,16,Hit - Not Home Run
13614,92.8,-5,Out
2883,82.9,-21,Out
13992,90.3,-17,Hit - Not Home Run
11805,85.7,44,Out
7469,59.3,-41,Out
4290,90.2,31,Home Run
11861,98.7,22,Out
8503,102.8,16,Out
14484,87.0,27,Out
10881,79.5,35,Out
3807,71.9,-1,Out
15101,76.0,32,Out
355,82.9,-21,Out
5118,49.7,-40,Out
3978,88.2,41,Out
15384,98.6,33,Hit - Not Home Run
9360,73.6,25,Hit - Not Home Run
689,85.4,74,Out
1474,82.9,-21,Out
2419,111.5,12,Hit - Not Home Run
2234,66.6,-27,Out
7479,100.7,41,Out
9963,102.4,12,Hit - Not Home Run
6023,96.7,44,Out
14685,76.8,5,Out
5052,101.4,14,Hit - Not Home Run
6108,104.3,10,Hit - Not Home Run
13858,86.8,53,Out
5296,81.1,-3,Out
9169,81.8,10,Out
3529,91.1,4,Hit - Not Home Run
4588,79.2,17,Hit - Not Home Run
2468,78.3,0,Out
372,90.8,8,Out
9777,82.9,-10,Hit - Not Home Run
771,86.0,-21,Out
2068,76.7,-6,Out
8046,101.3,27,Out
14785,90.1,-19,Out
14949,107.3,15,Hit - Not Home Run
3831,87.3,-30,Out
11218,82.7,-1,Hit - Not Home Run
5443,111.3,20,Home Run
2578,90.3,-17,Hit - Not Home Run
197,80.3,18,Hit - Not Home Run
10344,104.7,14,Out
7880,96.4,-9,Hit - Not Home Run
7317,97.1,-10,Hit - Not Home Run
13780,91.5,34,Out
9469,94.0,28,Out
8461,70.6,48,Out
2063,74.1,33,Out
14222,101.2,7,Out
5685,104.0,4,Out
10946,93.0,43,Out
7959,92.1,19,Hit - Not Home Run
12662,88.9,33,Out
12348,59.2,37,Out
11517,106.9,-15,Out
33,104.1,-4,Out
5330,100.0,34,Out
1227,82.2,25,Out
6582,71.7,-38,Out
2530,103.2,13,Hit - Not Home Run
15189,78.3,-1,Out
4939,88.6,43,Out
13353,95.6,-1,Out
12094,93.7,32,Hit - Not Home Run
4403,52.6,-33,Out
10292,113.3,17,Hit - Not Home Run
10966,80.0,69,Out
5723,104.1,2,Out
10809,97.8,8,Out
4685,73.5,-69,Out
14276,62.0,10,Out
11054,91.4,8,Out
11798,89.6,-35,Out
2308,105.4,-20,Hit - Not Home Run
7696,105.7,23,Home Run
3903,68.1,-6,Out
8759,72.8,6,Out
989,90.8,22,Hit - Not Home Run
442,98.6,-13,Out
3088,83.3,40,Out
9909,87.0,29,Out
7710,108.2,27,Home Run
13973,88.2,3,Hit - Not Home Run
4915,98.5,-10,Hit - Not Home Run
7740,83.7,22,Hit - Not Home Run
8510,100.0,35,Out
5929,99.1,25,Home Run
7270,103.7,10,Out
7607,98.2,16,Hit - Not Home Run
13921,84.6,-19,Out
4981,76.2,13,Hit - Not Home Run
14351,96.7,37,Out
15475,86.8,28,Out
1268,87.7,8,Hit - Not Home Run
2335,64.2,-19,Out
13744,103.9,16,Hit - Not Home Run
6404,86.0,14,Hit - Not Home Run
9510,89.3,-15,Out
13327,95.3,25,Hit - Not Home Run
1132,86.6,-23,Out
1266,73.0,9,Out
7345,73.9,30,Out
10138,82.9,-21,Out
3249,97.2,-20,Out
10313,100.6,-21,Out
15107,96.5,-17,Out
5178,95.4,46,Out
5891,80.7,42,Out
4541,92.1,16,Hit - Not Home Run
325,101.5,-10,Out
4779,98.9,35,Out
490,81.1,-11,Out
8282,63.8,-51,Hit - Not Home Run
14106,67.9,-27,Hit - Not Home Run
4220,103.7,9,Out
10522,81.9,7,Out
14868,72.2,-34,Out
11007,66.6,4,Out
4591,83.3,10,Hit - Not Home Run
838,104.3,20,Home Run
2694,96.3,2,Hit - Not Home Run
3183,92.9,16,Out
10633,80.2,22,Hit - Not Home Run
13612,69.8,-3,Hit - Not Home Run
11962,99.5,28,Hit - Not Home Run
4350,65.7,-46,Out
1298,89.5,10,Hit - Not Home Run
14082,65.5,47,Out
7561,80.4,7,Out
3046,70.0,-26,Out
8798,100.5,12,Hit - Not Home Run
2528,82.0,24,Out
2702,82.1,-43,Out
10497,99.2,28,Hit - Not Home Run
734,100.7,21,Hit - Not Home Run
11751,85.6,13,Hit - Not Home Run
9028,103.2,15,Hit - Not Home Run
14373,99.5,27,Hit - Not Home Run
6708,100.5,0,Out
8757,98.4,8,Hit - Not Home Run
780,66.9,36,Hit - Not Home Run
14967,103.1,14,Hit - Not Home Run
5547,117.2,22,Home Run
1152,81.4,-32,Out
14320,86.5,10,Hit - Not Home Run
15221,82.9,-21,Out
13927,79.7,-28,Out
10022,96.7,17,Out
976,70.0,-32,Out
6668,85.3,26,Out
4607,103.0,18,Out
6348,101.4,-21,Out
13447,98.7,38,Out
9750,80.0,69,Out
2797,83.4,32,Out
15208,103.7,9,Hit - Not Home Run
7071,91.6,27,Out
2339,70.5,21,Hit - Not Home Run
11264,81.9,38,Out
13054,84.7,20,Hit - Not Home Run
10941,84.1,10,Hit - Not Home Run
12746,79.2,48,Out
7200,107.2,28,Home Run
10516,87.8,52,Out
7300,78.9,57,Out
1906,76.3,45,Out
1874,88.4,8,Out
8753,103.7,34,Home Run
4739,92.4,-14,Out
5897,82.2,27,Out
3638,93.5,-23,Out
3438,78.5,-57,Out
12910,88.3,15,Hit - Not Home Run
548,82.2,6,Hit - Not Home Run
10123,86.2,58,Out
7902,86.3,50,Out
6217,82.1,48,Out
11865,104.1,-4,Out
11335,98.5,20,Hit - Not Home Run
13852,96.8,39,Out
12822,97.4,55,Out
3432,80.0,69,Out
15210,102.3,38,Out
556,75.8,-13,Out
6651,99.6,30,Home Run
15193,102.1,30,Home Run
7457,83.5,50,Out
9771,51.7,-21,Out
7517,101.8,-9,Hit - Not Home Run
14592,88.2,26,Out
14839,108.2,20,Hit - Not Home Run
10982,105.7,-12,Hit - Not Home Run
8307,37.6,33,Out
13974,94.9,13,Hit - Not Home Run
9265,65.8,48,Out
11396,99.5,-24,Out
10273,82.2,14,Hit - Not Home Run
13719,73.6,34,Out
10064,90.6,33,Out
14973,91.1,18,Out
10564,84.5,37,Out
13115,91.5,-11,Out
5439,110.0,11,Hit - Not Home Run
10904,97.6,37,Out
8785,64.0,-13,Hit - Not Home Run
419,106.8,29,Home Run
8249,100.6,25,Out
2696,83.2,27,Hit - Not Home Run
10936,82.1,78,Out
6642,90.2,11,Out
14196,65.9,59,Out
9148,80.0,69,Out
6003,91.3,38,Out
5791,86.5,-8,Out
4196,112.8,7,Out
11748,57.6,-45,Out
2786,81.2,55,Out
4184,100.2,34,Home Run
8631,93.2,-3,Out
58,102.4,26,Hit - Not Home Run
10889,97.1,-25,Out
2428,81.4,24,Hit - Not Home Run
6887,92.6,54,Out
12292,86.2,52,Out
9038,86.5,36,Out
10488,101.5,-5,Hit - Not Home Run
12718,96.6,27,Out
7130,98.9,20,Out
1569,94.6,-24,Out
1307,90.7,-14,Out
12353,102.3,27,Home Run
5275,84.3,-44,Out
10223,67.5,-25,Out
12886,108.3,17,Hit - Not Home Run
3390,90.2,-13,Out
2515,107.4,31,Home Run
9546,106.7,-4,Out
3233,103.0,29,Out
14252,91.5,29,Out
13201,89.9,39,Out
7629,82.9,-21,Out
377,74.3,26,Hit - Not Home Run
10489,81.4,37,Out
3069,96.3,-17,Hit - Not Home Run
15248,80.9,30,Out
10994,84.0,68,Out
1663,97.4,20,Out
6610,89.9,-23,Out
2310,64.9,-34,Hit - Not Home Run
13183,86.1,22,Out
15629,104.6,18,Hit - Not Home Run
14002,79.0,12,Hit - Not Home Run
5440,107.6,-15,Hit - Not Home Run
11924,82.9,-21,Out
2693,103.0,31,Out
3656,88.2,32,Out
10686,91.2,-7,Hit - Not Home Run
13772,94.0,43,Out
4125,103.7,29,Hit - Not Home Run
3187,89.4,24,Out
2558,101.7,47,Out
1762,99.7,-2,Out
8543,70.2,28,Hit - Not Home Run
13437,89.5,37,Out
15307,100.8,19,Hit - Not Home Run
13377,70.5,-22,Out
3851,88.5,45,Out
8326,66.5,-37,Hit - Not Home Run
2606,81.6,-27,Out
1391,79.0,34,Out
8865,92.5,16,Hit - Not Home Run
14528,91.4,14,Hit - Not Home Run
1294,82.9,-21,Out
3104,99.3,10,Hit - Not Home Run
13967,94.6,52,Out
11718,98.9,-3,Hit - Not Home Run
11350,45.8,-6,Out
1792,75.8,-56,Out
1840,80.0,69,Out
6488,85.6,63,Out
12107,95.9,38,Out
2926,90.9,51,Out
8858,97.7,30,Out
6044,91.1,39,Out
7970,77.1,-50,Out
7290,91.6,-12,Out
10436,82.9,-21,Out
6305,75.3,34,Out
15168,65.8,-31,Out
9634,95.8,23,Out
263,86.2,5,Hit - Not Home Run
11904,97.2,-2,Out
14285,73.2,-5,Hit - Not Home Run
2724,100.4,43,Out
14960,78.6,-24,Out
11504,82.3,48,Out
11661,94.3,-18,Out
10910,97.9,34,Out
4095,103.4,34,Home Run
11271,93.0,31,Out
10503,99.8,8,Out
1759,95.8,25,Out
8085,74.2,62,Out
7214,98.6,30,Hit - Not Home Run
5000,94.4,26,Hit - Not Home Run
9223,77.8,45,Out
14487,82.9,-21,Out
14288,80.0,69,Out
8413,91.2,10,Hit - Not Home Run
10625,96.0,14,Hit - Not Home Run
7982,96.4,24,Hit - Not Home Run
11397,98.6,24,Hit - Not Home Run
4708,76.6,-33,Out
1259,58.6,-8,Out
1112,80.4,13,Hit - Not Home Run
9912,74.4,18,Hit - Not Home Run
3814,78.6,-13,Out
1659,98.0,-16,Out
740,95.2,-7,Hit - Not Home Run
12631,89.3,20,Hit - Not Home Run
1905,84.9,11,Out
10451,110.6,4,Out
11789,107.7,2,Out
14442,85.6,44,Out
1157,60.7,-30,Out
6442,93.3,29,Out
14078,100.3,23,Home Run
9540,80.0,69,Out
8843,73.8,-4,Out
2031,96.2,32,Out
6278,90.2,2,Out
7336,99.1,-2,Hit - Not Home Run
2699,109.4,16,Hit - Not Home Run
11552,100.2,28,Hit - Not Home Run
8192,89.9,-12,Out
7892,101.3,23,Out
14858,90.3,-17,Hit - Not Home Run
7203,100.6,15,Hit - Not Home Run
2852,101.5,10,Hit - Not Home Run
11316,78.9,42,Out
5725,93.3,35,Out
14984,103.9,18,Hit - Not Home Run
2135,88.3,38,Out
10474,90.3,6,Out
283,87.0,-18,Out
11728,89.2,39,Out
5824,87.1,-4,Out
14571,98.4,18,Hit - Not Home Run
12523,105.0,7,Hit - Not Home Run
14180,66.2,16,Out
1764,80.0,69,Out
3737,92.8,-23,Out
5260,96.6,25,Out
