"Borough","Year.Filed","Year.Settled","Claim.Type","Settlement.Amount"
"BROOKLYN (KINGS)","2010",2017,"Automobile Accident (Pi)",15000
"BRONX","2013",2017,"Peace Officer/Police Action (Pi)",26250
"BROOKLYN (KINGS)","2012",2017,"Peace Officer/Police Action (Pi)",30000
"BRONX","2015",2017,"Automobile Accident (Pi)",3000
"BRONX","2013",2017,"Peace Officer/Police Action (Pi)",23000
"QUEENS","2013",2017,"Automobile Accident (Pi)",1e+05
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",17500
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",85000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",40000
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",5000
"BROOKLYN (KINGS)","2013",2017,"Peace Officer/Police Action (Pi)",50000
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",3500
"BROOKLYN (KINGS)","2014",2017,"Peace Officer/Police Action (Pi)",250000
"BROOKLYN (KINGS)","2014",2017,"Automobile Accident (Pi)",50000
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",20000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",50000
"MANHATTAN (NEW YORK)","2014",2017,"Automobile Accident (Pi)",75000
"QUEENS","2013",2017,"Peace Officer/Police Action (Pi)",15000
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",30000
"BRONX","2011",2017,"Automobile Accident (Pi)",5000
"BROOKLYN (KINGS)","2012",2017,"Peace Officer/Police Action (Pi)",10000
"QUEENS","2016",2017,"Civil Rights Claims",20000
"QUEENS","2013",2017,"Automobile Accident (Pi)",1500
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",27500
"BROOKLYN (KINGS)","2013",2017,"Peace Officer/Police Action (Pi)",5000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",25000
"BROOKLYN (KINGS)","2014",2017,"Civil Rights Claims",5000
"MANHATTAN (NEW YORK)","2016",2017,"Automobile Accident",5260.33
"BRONX","2009",2017,"Peace Officer/Police Action (Pi)",45000
"BRONX","2010",2017,"Automobile Accident (Pi)",33500
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",20000
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",17500
"BRONX","2016",2017,"Civil Rights Claims",7501
"BRONX","2015",2017,"Civil Rights Claims",2671000
"MANHATTAN (NEW YORK)","2016",2017,"Civil Rights Claims",1000
"BRONX","2016",2017,"Civil Rights Claims",22500
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",2000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",10000
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",8000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",12000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",15000
"STATEN ISLAND (RICHMOND)","2014",2017,"Civil Rights Claims",15001
"BRONX","2013",2017,"Automobile Accident (Pi)",35000
"MANHATTAN (NEW YORK)","2015",2017,"Civil Rights Claims",40000
"BROOKLYN (KINGS)","2015",2017,"Automobile Accident (Pi)",150000
"MANHATTAN (NEW YORK)","2016",2017,"Automobile Accident",7719.1
"MANHATTAN (NEW YORK)","2016",2017,"Civil Rights Claims",120000
"MANHATTAN (NEW YORK)","2016",2017,"Civil Rights Claims",35000
"** Borough Missing **","2011",2017,"Peace Officer/Police Action (Pi)",50000
"QUEENS","2013",2017,"Automobile Accident",12500
"MANHATTAN (NEW YORK)","2016",2017,"Civil Rights Claims",19501
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",4000
"QUEENS","2016",2017,"Peace Officer/Police Action (Pi)",1e+05
"QUEENS","2016",2017,"Peace Officer/Police Action (Pi)",7800
"MANHATTAN (NEW YORK)","2015",2017,"Automobile Accident",5253.5
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",17500
"QUEENS","2016",2017,"Civil Rights Claims",10000
"BROOKLYN (KINGS)","2016",2017,"Civil Rights Claims",2500
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",12000
"BROOKLYN (KINGS)","2016",2017,"Civil Rights Claims",11000
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",10000
"QUEENS","2015",2017,"Civil Rights Claims",16000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",15000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",7500
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",60000
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",12000
"BROOKLYN (KINGS)","2012",2017,"Peace Officer/Police Action (Pi)",75000
"MANHATTAN (NEW YORK)","2014",2017,"Peace Officer/Police Action (Pi)",25000
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",8000
"QUEENS","2016",2017,"Civil Rights Claims",15000
"MANHATTAN (NEW YORK)","2012",2017,"Peace Officer/Police Action (Pi)",6028.11
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",30000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",30000
"QUEENS","2016",2017,"Peace Officer/Police Action (Pi)",7500
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",35000
"MANHATTAN (NEW YORK)","2011",2017,"Peace Officer/Police Action (Pi)",10000
"BROOKLYN (KINGS)","2011",2017,"Peace Officer/Police Action (Pi)",1500
"MANHATTAN (NEW YORK)","2015",2017,"Peace Officer/Police Action (Pi)",12500
"BROOKLYN (KINGS)","2013",2017,"Peace Officer/Police Action (Pi)",2000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",25000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",25000
"BROOKLYN (KINGS)","2012",2017,"Civil Rights Claims",99000
"BROOKLYN (KINGS)","2015",2017,"Automobile Accident (Pi)",10000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",12500
"MANHATTAN (NEW YORK)","2015",2017,"Automobile Accident (Pi)",27500
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",12000
"BROOKLYN (KINGS)","2016",2017,"Peace Officer (Police Act)",5796.39
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",5000
"BROOKLYN (KINGS)","2016",2017,"Civil Rights Claims",12000
"BRONX","2015",2017,"Automobile Accident",5271.63
"BRONX","2010",2017,"Peace Officer/Police Action (Pi)",25000
"MANHATTAN (NEW YORK)","2016",2017,"Civil Rights Claims",5000
"QUEENS","2015",2017,"Civil Rights Claims",9700
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",25000
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",1500
"BRONX","2016",2017,"Automobile Accident",2189.43
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",3500
"BROOKLYN (KINGS)","2015",2017,"Automobile Accident (Pi)",20000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",17500
"BROOKLYN (KINGS)","2013",2017,"Civil Rights Claims",60000
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",15000
"MANHATTAN (NEW YORK)","2015",2017,"Peace Officer/Police Action (Pi)",22500
"STATEN ISLAND (RICHMOND)","2015",2017,"Civil Rights Claims",12500
"MANHATTAN (NEW YORK)","2008",2017,"Peace Officer/Police Action (Pi)",25000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",15000
"MANHATTAN (NEW YORK)","2010",2017,"Peace Officer/Police Action (Pi)",7e+06
"BROOKLYN (KINGS)","2012",2017,"Peace Officer/Police Action (Pi)",55000
"BRONX","2008",2017,"Peace Officer/Police Action (Pi)",25000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",40000
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",75000
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",6000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",27500
"BRONX","2012",2017,"Peace Officer/Police Action (Pi)",15000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",30000
"BRONX","2015",2017,"Employee Uniformed Service (Pi)",15000
"BROOKLYN (KINGS)","2012",2017,"Automobile Accident (Pi)",22500
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",60000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",10000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",10000
"MANHATTAN (NEW YORK)","2015",2017,"Civil Rights Claims",10001
"QUEENS","2016",2017,"Peace Officer/Police Action (Pi)",45000
"MANHATTAN (NEW YORK)","2011",2017,"Employee Uniformed Service (Pi)",2e+05
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",7000
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",9000
"STATEN ISLAND (RICHMOND)","2013",2017,"Peace Officer/Police Action (Pi)",6000
"BRONX","2012",2017,"Peace Officer/Police Action (Pi)",5000
"MANHATTAN (NEW YORK)","2014",2017,"Automobile Accident",1095.07
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",5000
"MANHATTAN (NEW YORK)","2006",2017,"Peace Officer/Police Action (Pi)",7e+05
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",7500
"BROOKLYN (KINGS)","2011",2017,"Peace Officer/Police Action (Pi)",85000
"BRONX","2011",2017,"Peace Officer/Police Action (Pi)",25000
"QUEENS","2016",2017,"Peace Officer/Police Action (Pi)",8000
"QUEENS","2015",2017,"Automobile Accident",1838.91
"BRONX","2011",2017,"Peace Officer/Police Action (Pi)",150000
"QUEENS","2016",2017,"Civil Rights Claims",35000
"BRONX","2016",2017,"Automobile Accident",386.14
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",8000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",22500
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",12000
"BROOKLYN (KINGS)","2014",2017,"Automobile Accident",8364
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",7500
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",30000
"BROOKLYN (KINGS)","2014",2017,"Automobile Accident (Pi)",17500
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",17500
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",25000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",30000
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",10000
"** Borough Missing **","2012",2017,"Peace Officer/Police Action (Pi)",210000
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",10000
"BROOKLYN (KINGS)","2014",2017,"Civil Rights Claims",24400
"** Borough Missing **","2017",2017,"Automobile Accident",2392.83
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",35000
"MANHATTAN (NEW YORK)","2015",2017,"Automobile Accident (Pi)",60000
"MANHATTAN (NEW YORK)","2016",2017,"Automobile Accident",1120.21
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",17500
"QUEENS","2016",2017,"Automobile Accident",2218.53
"MANHATTAN (NEW YORK)","2015",2017,"Peace Officer/Police Action (Pi)",17500
"BRONX","2013",2017,"Peace Officer/Police Action (Pi)",26250
"MANHATTAN (NEW YORK)","2015",2017,"Peace Officer/Police Action (Pi)",32500
"BROOKLYN (KINGS)","2016",2017,"Automobile Accident",1339.94
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",25000
"BROOKLYN (KINGS)","2015",2017,"Automobile Accident",769
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",30000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",6500
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",7500
"BROOKLYN (KINGS)","2005",2017,"Peace Officer/Police Action (Pi)",50000
"BROOKLYN (KINGS)","2016",2017,"Civil Rights Claims",750
"QUEENS","2017",2017,"Automobile Accident",2000
"QUEENS","2016",2017,"Peace Officer/Police Action (Pi)",4000
"QUEENS","2015",2017,"Civil Rights Claims",15000
"MANHATTAN (NEW YORK)","2015",2017,"Automobile Accident (Pi)",195000
"MANHATTAN (NEW YORK)","2015",2017,"Civil Rights Claims",2000
"MANHATTAN (NEW YORK)","2016",2017,"Automobile Accident",2353.03
"MANHATTAN (NEW YORK)","2016",2017,"Automobile Accident",756
"BRONX","2013",2017,"Peace Officer/Police Action (Pi)",15000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",25000
"BRONX","2010",2017,"Peace Officer/Police Action (Pi)",10000
"BROOKLYN (KINGS)","2016",2017,"Civil Rights Claims",7500
"BRONX","2010",2017,"Peace Officer/Police Action (Pi)",25000
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",16000
"QUEENS","2016",2017,"Civil Rights Claims",25000
"STATEN ISLAND (RICHMOND)","2013",2017,"Civil Rights Claims",75000
"QUEENS","2012",2017,"Peace Officer/Police Action (Pi)",25000
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",7500
"BRONX","2013",2017,"Peace Officer/Police Action (Pi)",42500
"MANHATTAN (NEW YORK)","2013",2017,"Peace Officer/Police Action (Pi)",30000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",15000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",15000
"BROOKLYN (KINGS)","2012",2017,"Automobile Accident (Pi)",5000
"BROOKLYN (KINGS)","2015",2017,"Employee Uniformed Service (Pi)",30000
"QUEENS","2013",2017,"Peace Officer/Police Action (Pi)",75000
"BROOKLYN (KINGS)","2008",2017,"Civil Rights Claims",190000
"QUEENS","2013",2017,"Peace Officer/Police Action (Pi)",15000
"QUEENS","2011",2017,"Peace Officer/Police Action (Pi)",30000
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",5000
"BROOKLYN (KINGS)","2015",2017,"Automobile Accident (Pi)",12500
"QUEENS","2014",2017,"Civil Rights Claims",20000
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",25000
"MANHATTAN (NEW YORK)","2015",2017,"Civil Rights Claims",4000
"BRONX","2012",2017,"Peace Officer/Police Action (Pi)",10000
"BRONX","2006",2017,"Peace Officer/Police Action (Pi)",47500
"MANHATTAN (NEW YORK)","2015",2017,"Peace Officer/Police Action (Pi)",16000
"QUEENS","2017",2017,"Automobile Accident",380.13
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",25000
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",12500
"BROOKLYN (KINGS)","2015",2017,"Automobile Accident (Pi)",20000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",5000
"BRONX","2012",2017,"Peace Officer/Police Action (Pi)",37500
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",10001
"MANHATTAN (NEW YORK)","2015",2017,"Civil Rights Claims",1500
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",37500
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",27000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",32500
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",5000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",40000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",35000
"QUEENS","2016",2017,"Peace Officer/Police Action (Pi)",4500
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",5000
"MANHATTAN (NEW YORK)","2015",2017,"Automobile Accident",4712.98
"BROOKLYN (KINGS)","2012",2017,"Peace Officer/Police Action (Pi)",35000
"MANHATTAN (NEW YORK)","2016",2017,"Civil Rights Claims",16000
"BROOKLYN (KINGS)","2015",2017,"Automobile Accident",605
"MANHATTAN (NEW YORK)","2016",2017,"Civil Rights Claims",1000
"BRONX","2013",2017,"Peace Officer/Police Action (Pi)",7000
"BROOKLYN (KINGS)","2016",2017,"Automobile Accident",3277.26
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",25000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",17500
"** Borough Missing **","2013",2017,"Civil Rights Claims",20000
"BRONX","2013",2017,"Peace Officer/Police Action (Pi)",25000
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",6000
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",1000
"BROOKLYN (KINGS)","2015",2017,"Automobile Accident",2000
"QUEENS","2016",2017,"Automobile Accident",9939.45
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",4500
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",17500
"BRONX","2013",2017,"Peace Officer/Police Action (Pi)",5000
"BRONX","2008",2017,"Peace Officer/Police Action (Pi)",2e+05
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",9400
"MANHATTAN (NEW YORK)","2016",2017,"Automobile Accident",175
"** Borough Missing **","2015",2017,"Automobile Accident",1141.79
"BRONX","2014",2017,"Automobile Accident (Pi)",20000
"MANHATTAN (NEW YORK)","2014",2017,"Peace Officer/Police Action (Pi)",9000
"STATEN ISLAND (RICHMOND)","2016",2017,"Civil Rights Claims",8501
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",7500
"BROOKLYN (KINGS)","2012",2017,"Automobile Accident (Pi)",125000
"MANHATTAN (NEW YORK)","2015",2017,"Admiralty",6960.35
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",9000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",30000
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",9000
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",7500
"MANHATTAN (NEW YORK)","2013",2017,"Peace Officer/Police Action (Pi)",4e+05
"MANHATTAN (NEW YORK)","2014",2017,"Employee Uniformed Service (Pi)",5000
"MANHATTAN (NEW YORK)","2015",2017,"Civil Rights Claims",50000
"BRONX","2012",2017,"Automobile Accident (Pi)",125000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",65000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",17500
"MANHATTAN (NEW YORK)","2015",2017,"Peace Officer/Police Action (Pi)",2500
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",20000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",9000
"MANHATTAN (NEW YORK)","2015",2017,"Civil Rights Claims",17500
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",21500
"QUEENS","2016",2017,"Peace Officer/Police Action (Pi)",5000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",60000
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",12500
"BRONX","2016",2017,"Civil Rights Claims",30001
"QUEENS","2016",2017,"Civil Rights Claims",16500
"BRONX","2016",2017,"Automobile Accident",537.95
"BRONX","2012",2017,"Peace Officer/Police Action (Pi)",15000
"BRONX","2009",2017,"Automobile Accident (Pi)",47500
"BRONX","2015",2017,"Automobile Accident",874.09
"QUEENS","2016",2017,"Automobile Accident",2757.32
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",30000
"QUEENS","2015",2017,"Employee Uniformed Service (Pi)",10000
"MANHATTAN (NEW YORK)","2013",2017,"Peace Officer/Police Action (Pi)",3500
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",6500
"** Borough Missing **","2013",2017,"Civil Rights Claims",10000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",22500
"MANHATTAN (NEW YORK)","2013",2017,"Peace Officer/Police Action (Pi)",90000
"MANHATTAN (NEW YORK)","2015",2017,"Automobile Accident",3000
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",27500
"BROOKLYN (KINGS)","2011",2017,"Peace Officer/Police Action (Pi)",2500
"BROOKLYN (KINGS)","2015",2017,"Automobile Accident",2603.99
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",6000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",40000
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",15000
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",12500
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",20000
"QUEENS","2013",2017,"Peace Officer/Police Action (Pi)",25000
"MANHATTAN (NEW YORK)","2016",2017,"Civil Rights Claims",325000
"BROOKLYN (KINGS)","2016",2017,"Automobile Accident",4000
"BROOKLYN (KINGS)","2015",2017,"Automobile Accident (Pi)",3500
"STATEN ISLAND (RICHMOND)","2014",2017,"Civil Rights Claims",2000
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",20000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",17500
"QUEENS","2015",2017,"Peace Officer/Police Action (Pi)",30000
"MANHATTAN (NEW YORK)","2015",2017,"Automobile Accident",1634.16
"BRONX","2013",2017,"Peace Officer/Police Action (Pi)",40000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",12500
"BRONX","2015",2017,"Civil Rights Claims",40000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",40000
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",7500
"QUEENS","2015",2017,"Peace Officer/Police Action (Pi)",22500
"BRONX","2015",2017,"Automobile Accident (Pi)",500
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",30000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",27500
"BRONX","2016",2017,"Automobile Accident",591.24
"** Borough Missing **","2016",2017,"Automobile Accident",673.23
"BRONX","2012",2017,"Peace Officer/Police Action (Pi)",150000
"BRONX","2011",2017,"Peace Officer/Police Action (Pi)",75000
"MANHATTAN (NEW YORK)","2016",2017,"Civil Rights Claims",23500
"BRONX","2010",2017,"Peace Officer/Police Action (Pi)",40000
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",20000
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",5000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",35000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",70000
"BRONX","2013",2017,"Peace Officer/Police Action (Pi)",35000
"MANHATTAN (NEW YORK)","2013",2017,"Peace Officer/Police Action (Pi)",10000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",12500
"** Borough Missing **","2008",2017,"Employee Uniformed Service (Pi)",1100000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",40000
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",9000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",9000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",30000
"QUEENS","2015",2017,"Civil Rights Claims",72750
"BRONX","2013",2017,"Peace Officer/Police Action (Pi)",25000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",250000
"QUEENS","2016",2017,"Automobile Accident",1371.66
"BRONX","2016",2017,"Civil Rights Claims",10000
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",30000
"BRONX","2013",2017,"Peace Officer/Police Action (Pi)",40000
"BRONX","2013",2017,"Peace Officer/Police Action (Pi)",22500
"STATEN ISLAND (RICHMOND)","2016",2017,"Civil Rights Claims",10500
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",1e+05
"BRONX","2010",2017,"Peace Officer/Police Action (Pi)",50000
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",20000
"BRONX","2016",2017,"Civil Rights Claims",7500
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",205000
"BRONX","2012",2017,"Peace Officer/Police Action (Pi)",25000
"BROOKLYN (KINGS)","2015",2017,"Peace Officer/Police Action (Pi)",17500
"BROOKLYN (KINGS)","2013",2017,"Automobile Accident (Pi)",35000
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",7000
"QUEENS","2013",2017,"Automobile Accident (Pi)",540000
"QUEENS","2016",2017,"Civil Rights Claims",40000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",12000
"BROOKLYN (KINGS)","2016",2017,"Automobile Accident",525.32
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",50000
"MANHATTAN (NEW YORK)","2015",2017,"Peace Officer/Police Action (Pi)",17500
"** Borough Missing **","2016",2017,"Peace Officer/Police Action (Pi)",12500
"QUEENS","2015",2017,"Peace Officer/Police Action (Pi)",20000
"BRONX","2012",2017,"Civil Rights Claims",7500
"** Borough Missing **","2009",2017,"Peace Officer/Police Action (Pi)",13163.56
"BROOKLYN (KINGS)","2012",2017,"Peace Officer/Police Action (Pi)",1500
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",10000
"STATEN ISLAND (RICHMOND)","2015",2017,"Peace Officer/Police Action (Pi)",40000
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",12500
"QUEENS","2008",2017,"Peace Officer/Police Action (Pi)",3000
"MANHATTAN (NEW YORK)","2006",2017,"Peace Officer/Police Action (Pi)",1000
"BRONX","2014",2017,"Automobile Accident",2500
"BROOKLYN (KINGS)","2016",2017,"Automobile Accident",7181.93
"BRONX","2016",2017,"Automobile Accident",6494
"MANHATTAN (NEW YORK)","2015",2017,"Automobile Accident",4456.69
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",25000
"MANHATTAN (NEW YORK)","2012",2017,"Automobile Accident (Pi)",5000
"BROOKLYN (KINGS)","2014",2017,"Peace Officer/Police Action (Pi)",19000
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",25000
"** Borough Missing **","2015",2017,"Peace Officer/Police Action (Pi)",15000
"BROOKLYN (KINGS)","2011",2017,"Peace Officer/Police Action (Pi)",1500
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",55000
"MANHATTAN (NEW YORK)","2016",2017,"Automobile Accident",1109.16
"MANHATTAN (NEW YORK)","2013",2017,"Civil Rights Claims",7000
"NULL","2015",2017,"Peace Officer/Police Action (Pi)",17500
"QUEENS","2016",2017,"Civil Rights Claims",13750
"BRONX","2016",2017,"Civil Rights Claims",15000
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",22500
"MANHATTAN (NEW YORK)","2016",2017,"Peace Officer/Police Action (Pi)",25000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",20000
"BROOKLYN (KINGS)","2012",2017,"Peace Officer/Police Action (Pi)",2500
"** Borough Missing **","2015",2017,"Peace Officer/Police Action (Pi)",25000
"BRONX","2014",2017,"Peace Officer/Police Action (Pi)",6000
"** Borough Missing **","2015",2017,"Peace Officer/Police Action (Pi)",50000
"QUEENS","2017",2017,"Automobile Accident",1628.82
"BROOKLYN (KINGS)","2015",2017,"Civil Rights Claims",600
"MANHATTAN (NEW YORK)","2013",2017,"Automobile Accident (Pi)",5000
"BRONX","2013",2017,"Peace Officer/Police Action (Pi)",25000
"BROOKLYN (KINGS)","2014",2017,"Automobile Accident",669.62
"BRONX","2016",2017,"Peace Officer/Police Action (Pi)",22500
"BRONX","2015",2017,"Peace Officer/Police Action (Pi)",30000
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",5000
"BROOKLYN (KINGS)","2012",2017,"Peace Officer/Police Action (Pi)",42500
"QUEENS","2013",2017,"Peace Officer/Police Action (Pi)",1500
"BROOKLYN (KINGS)","2016",2017,"Peace Officer/Police Action (Pi)",4500
