"Borough","Year.Filed","Year.Settled","Claim.Type","Settlement.Amount"
"BRONX","2010",2016,"Peace Officer/Police Action (Pi)",35000
"BRONX","2014",2016,"Civil Rights Claims",25000
"BRONX","2012",2016,"Peace Officer/Police Action (Pi)",5000
"** Borough Missing **","2014",2016,"Civil Rights Claims",30000
"BRONX","2007",2016,"Peace Officer/Police Action (Pi)",7500
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",25000
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",17500
"BROOKLYN (KINGS)","2008",2016,"Automobile Accident (Pi)",650000
"BROOKLYN (KINGS)","2012",2016,"Peace Officer/Police Action (Pi)",15000
"QUEENS","2015",2016,"Peace Officer/Police Action (Pi)",20000
"BRONX","2015",2016,"Automobile Accident (Pi)",7500
"BROOKLYN (KINGS)","2014",2016,"Automobile Accident (Pi)",6000
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",15000
"QUEENS","2011",2016,"Civil Rights Claims",91900.1
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",35000
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",4000
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",12500
"BROOKLYN (KINGS)","2005",2016,"Civil Rights Claims",5e+05
"** Borough Missing **","2015",2016,"Automobile Accident (Pi)",30000
"BRONX","2010",2016,"Peace Officer/Police Action (Pi)",65000
"BROOKLYN (KINGS)","2015",2016,"Automobile Accident (Pi)",10000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",175000
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",14501
"QUEENS","2015",2016,"Employee Uniformed Service (Pi)",30000
"BRONX","2014",2016,"Automobile Accident",1600
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",8000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",17500
"MANHATTAN (NEW YORK)","2011",2016,"Peace Officer/Police Action (Pi)",65000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",15000
"MANHATTAN (NEW YORK)","2015",2016,"Peace Officer/Police Action (Pi)",15000
"BRONX","2012",2016,"Peace Officer/Police Action (Pi)",11000
"BRONX","2010",2016,"Peace Officer/Police Action (Pi)",40000
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",5000
"MANHATTAN (NEW YORK)","2015",2016,"Civil Rights Claims",15000
"MANHATTAN (NEW YORK)","2015",2016,"Peace Officer/Police Action (Pi)",15000
"MANHATTAN (NEW YORK)","2015",2016,"Peace Officer/Police Action (Pi)",17500
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",9500
"MANHATTAN (NEW YORK)","2014",2016,"Peace Officer/Police Action (Pi)",30000
"MANHATTAN (NEW YORK)","2015",2016,"Civil Rights Claims",9500
"QUEENS","2011",2016,"Peace Officer/Police Action (Pi)",125000
"MANHATTAN (NEW YORK)","2014",2016,"Civil Rights Claims",7500
"QUEENS","2013",2016,"Peace Officer/Police Action (Pi)",90000
"QUEENS","2010",2016,"Peace Officer/Police Action (Pi)",9000
"QUEENS","2015",2016,"Peace Officer/Police Action (Pi)",4000
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",35000
"MANHATTAN (NEW YORK)","2014",2016,"Civil Rights Claims",25000
"BRONX","2010",2016,"Peace Officer/Police Action (Pi)",90000
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",6500
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",25000
"BROOKLYN (KINGS)","2014",2016,"Automobile Accident (Pi)",50000
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",10001
"BRONX","2011",2016,"Civil Rights Claims",45000
"BROOKLYN (KINGS)","2015",2016,"Automobile Accident",5385.4
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",15000
"BROOKLYN (KINGS)","2012",2016,"Employee Uniformed Service (Pi)",750000
"MANHATTAN (NEW YORK)","2015",2016,"Peace Officer/Police Action (Pi)",15000
"MANHATTAN (NEW YORK)","2014",2016,"Peace Officer/Police Action (Pi)",15000
"BROOKLYN (KINGS)","2011",2016,"Peace Officer/Police Action (Pi)",1e+05
"MANHATTAN (NEW YORK)","2014",2016,"Peace Officer (Police Act)",1015.88
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",20000
"BROOKLYN (KINGS)","2011",2016,"Civil Rights Claims",316757.71
"MANHATTAN (NEW YORK)","2015",2016,"Automobile Accident",2000
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",7500
