"launch_speed","launch_angle","event"
100,27,"Home Run"
87,27,"Out"
97.3,-1,"Out"
80.6,26,"Out"
80,69,"Out"
96.4,-12,"Hit - Not Home Run"
89.3,18,"Hit - Not Home Run"
70.2,4,"Out"
96.4,24,"Hit - Not Home Run"
71.1,-7,"Out"
95.1,25,"Hit - Not Home Run"
76.5,36,"Out"
92.9,27,"Out"
78.9,28,"Hit - Not Home Run"
100.8,10,"Out"
87.6,4,"Out"
84.9,41,"Out"
102.3,24,"Hit - Not Home Run"
80,69,"Out"
61.2,56,"Out"
97.8,26,"Hit - Not Home Run"
93.8,17,"Hit - Not Home Run"
86.2,11,"Hit - Not Home Run"
103,4,"Hit - Not Home Run"
75.7,0,"Hit - Not Home Run"
99.1,49,"Out"
76.4,-7,"Hit - Not Home Run"
97.6,27,"Home Run"
106.9,-2,"Hit - Not Home Run"
78.1,16,"Hit - Not Home Run"
80,69,"Out"
87.7,51,"Out"
95.4,16,"Hit - Not Home Run"
82.9,-21,"Out"
83.5,-35,"Out"
96.7,-23,"Out"
103.4,-6,"Out"
83.2,11,"Out"
58.4,-55,"Out"
72,-6,"Out"
98,2,"Out"
90.6,46,"Out"
101.7,32,"Home Run"
87.3,68,"Out"
100,2,"Hit - Not Home Run"
90.3,-17,"Hit - Not Home Run"
103.8,21,"Home Run"
96.6,29,"Out"
107.4,9,"Hit - Not Home Run"
101.6,16,"Hit - Not Home Run"
96.1,0,"Hit - Not Home Run"
83.9,46,"Out"
74.8,51,"Out"
98.9,16,"Out"
84.2,9,"Hit - Not Home Run"
101.9,17,"Hit - Not Home Run"
102.4,-3,"Out"
62.5,-55,"Out"
92.3,27,"Out"
111.9,28,"Home Run"
83.7,31,"Out"
100.8,25,"Hit - Not Home Run"
81.2,-8,"Out"
80.4,19,"Hit - Not Home Run"
94.2,16,"Hit - Not Home Run"
70.2,3,"Out"
83.6,-9,"Out"
84.2,43,"Out"
81.2,15,"Hit - Not Home Run"
83.6,33,"Out"
95.7,23,"Out"
52.8,-36,"Out"
97.6,53,"Out"
94.8,17,"Out"
77.5,9,"Out"
84.3,53,"Out"
88.3,10,"Out"
108.5,28,"Home Run"
106.8,33,"Home Run"
80.3,4,"Hit - Not Home Run"
97.5,-13,"Hit - Not Home Run"
66.9,-58,"Hit - Not Home Run"
74.8,-28,"Out"
95.8,-1,"Hit - Not Home Run"
87.2,-4,"Out"
86.2,18,"Hit - Not Home Run"
75.9,1,"Hit - Not Home Run"
98.4,23,"Out"
95.9,24,"Hit - Not Home Run"
105.5,10,"Hit - Not Home Run"
98.4,39,"Out"
82.9,-21,"Out"
82.9,-21,"Out"
75.9,40,"Out"
61.7,27,"Hit - Not Home Run"
99.5,19,"Out"
101.1,12,"Hit - Not Home Run"
80.2,-29,"Out"
102.5,-6,"Out"
91.1,23,"Out"
94.6,12,"Hit - Not Home Run"
97.2,41,"Out"
74.8,27,"Hit - Not Home Run"
53.2,-44,"Out"
100.8,-4,"Hit - Not Home Run"
86.9,15,"Hit - Not Home Run"
94.5,47,"Out"
98.4,17,"Out"
97.3,8,"Hit - Not Home Run"
80,69,"Out"
52,-61,"Out"
103.7,-1,"Out"
85,-34,"Out"
95,42,"Out"
85.7,46,"Out"
97,46,"Out"
88.9,-4,"Hit - Not Home Run"
104,5,"Out"
100.6,10,"Hit - Not Home Run"
86.7,0,"Out"
95.8,24,"Out"
101.5,-12,"Hit - Not Home Run"
92.6,5,"Hit - Not Home Run"
103.5,-10,"Hit - Not Home Run"
77.6,14,"Out"
102.5,0,"Hit - Not Home Run"
90.2,2,"Out"
93.9,39,"Out"
107.2,31,"Home Run"
98.3,-24,"Out"
102.3,0,"Out"
89.5,37,"Out"
93,-13,"Out"
83.9,65,"Out"
82.8,10,"Hit - Not Home Run"
91.9,-19,"Out"
90.3,-17,"Hit - Not Home Run"
73.6,0,"Out"
74.2,35,"Out"
82.9,-21,"Out"
95.8,-11,"Out"
86.3,19,"Hit - Not Home Run"
82.9,-21,"Out"
80,69,"Out"
100.7,7,"Out"
103.6,20,"Hit - Not Home Run"
94.3,36,"Out"
75.7,12,"Hit - Not Home Run"
101.1,25,"Hit - Not Home Run"
83,13,"Hit - Not Home Run"
79,19,"Hit - Not Home Run"
82.1,9,"Out"
91.2,23,"Out"
96.6,9,"Hit - Not Home Run"
88,8,"Out"
91.4,-1,"Out"
83.8,47,"Out"
95,-8,"Out"
102.6,6,"Hit - Not Home Run"
93.6,-3,"Out"
89.6,18,"Hit - Not Home Run"
82.9,-21,"Out"
98.5,46,"Out"
76.1,-25,"Out"
96.9,19,"Out"
104.1,17,"Hit - Not Home Run"
79.4,4,"Hit - Not Home Run"
85,13,"Hit - Not Home Run"
91.4,43,"Out"
84.1,30,"Out"
