"launch_speed","launch_angle","event"
78.7,20,"Hit - Not Home Run"
76.8,16,"Hit - Not Home Run"
89.3,35,"Out"
95.2,30,"Hit - Not Home Run"
94.4,8,"Out"
101.2,8,"Hit - Not Home Run"
86.4,67,"Out"
108.3,-4,"Hit - Not Home Run"
100.1,21,"Out"
96.7,17,"Out"
84.1,25,"Out"
69.1,-18,"Out"
97.5,26,"Out"
105.7,34,"Home Run"
90,-5,"Out"
91.8,18,"Hit - Not Home Run"
99,36,"Out"
94.6,-23,"Hit - Not Home Run"
99.2,3,"Hit - Not Home Run"
97.5,34,"Out"
74.3,23,"Hit - Not Home Run"
85.9,24,"Out"
98,17,"Out"
83.7,30,"Out"
95,84,"Out"
91.9,16,"Hit - Not Home Run"
88.5,53,"Out"
62.5,-7,"Out"
69.4,-9,"Out"
82.3,55,"Out"
73,46,"Out"
62.2,28,"Out"
97,11,"Hit - Not Home Run"
82.9,-21,"Out"
90.6,30,"Out"
104.4,0,"Hit - Not Home Run"
86.1,-24,"Out"
93.3,-19,"Out"
87,8,"Hit - Not Home Run"
94.6,15,"Hit - Not Home Run"
80,69,"Out"
88.9,26,"Out"
92.9,9,"Hit - Not Home Run"
100.4,6,"Out"
68.8,44,"Hit - Not Home Run"
94.1,23,"Out"
88.5,26,"Out"
85,38,"Out"
95.3,6,"Hit - Not Home Run"
97.5,-5,"Hit - Not Home Run"
80,69,"Out"
89.2,39,"Out"
79.5,56,"Out"
97.8,29,"Out"
86.9,32,"Out"
54.9,-24,"Out"
79.7,33,"Out"
88.1,26,"Out"
97.5,15,"Hit - Not Home Run"
102.2,8,"Hit - Not Home Run"
66.8,6,"Out"
94.2,7,"Hit - Not Home Run"
106.7,4,"Hit - Not Home Run"
80,69,"Out"
104.9,31,"Home Run"
82,34,"Out"
90.5,33,"Out"
82.9,-21,"Out"
79.8,49,"Out"
77.2,-16,"Out"
84.6,7,"Hit - Not Home Run"
74.6,61,"Out"
97.3,7,"Out"
103.3,17,"Hit - Not Home Run"
74.4,12,"Hit - Not Home Run"
96.7,60,"Out"
87.2,29,"Out"
104,29,"Home Run"
72.8,-30,"Out"
99.7,16,"Out"
80.5,13,"Hit - Not Home Run"
84.3,16,"Hit - Not Home Run"
89.1,-17,"Out"
93.1,11,"Hit - Not Home Run"
95.4,39,"Out"
98,32,"Out"
93.4,19,"Out"
102.4,18,"Home Run"
90.7,30,"Out"
69.8,-26,"Out"
94.9,34,"Out"
95.7,24,"Out"
103.2,26,"Home Run"
92.7,-23,"Out"
80,69,"Out"
49.8,10,"Hit - Not Home Run"
88.8,41,"Out"
84.3,31,"Out"
66,24,"Hit - Not Home Run"
100.5,29,"Home Run"
106.3,7,"Hit - Not Home Run"
101.5,34,"Home Run"
62.2,32,"Out"
100,40,"Out"
62.5,-28,"Out"
82.9,-21,"Out"
86.9,16,"Hit - Not Home Run"
83.6,-13,"Hit - Not Home Run"
90.4,-11,"Out"
69.8,38,"Hit - Not Home Run"
89.6,28,"Hit - Not Home Run"
96.1,5,"Hit - Not Home Run"
97,3,"Hit - Not Home Run"
85.2,18,"Hit - Not Home Run"
87.9,76,"Out"
91.2,-16,"Hit - Not Home Run"
98,26,"Home Run"
89.9,46,"Out"
91.3,5,"Out"
76.8,41,"Out"
78,19,"Hit - Not Home Run"
93.9,-18,"Out"
82.9,-47,"Out"
82.9,-21,"Out"
107.1,26,"Home Run"
99.7,-21,"Out"
78.3,24,"Out"
104.5,-2,"Hit - Not Home Run"
46.1,5,"Out"
90,15,"Hit - Not Home Run"
82.1,25,"Hit - Not Home Run"
80,69,"Out"
90.9,77,"Out"
100.2,-5,"Out"
97.3,-7,"Out"
94.3,-14,"Out"
89.2,31,"Out"
81.1,-3,"Out"
91.6,-8,"Out"
56.1,-36,"Out"
86.6,9,"Hit - Not Home Run"
72.1,-14,"Out"
89.2,34,"Out"
87.8,25,"Out"
103,31,"Out"
86.8,3,"Hit - Not Home Run"
87.7,46,"Out"
72.1,-32,"Out"
80.5,52,"Out"
49.7,-30,"Out"
91.1,33,"Out"
93,18,"Hit - Not Home Run"
74.8,18,"Hit - Not Home Run"
82.5,37,"Out"
64.4,-10,"Out"
88,-6,"Out"
95.3,-15,"Hit - Not Home Run"
80.1,58,"Out"
89.7,-8,"Hit - Not Home Run"
100.3,22,"Hit - Not Home Run"
97.4,-17,"Out"
92.3,46,"Out"
97,-6,"Out"
75,-20,"Out"
88.2,41,"Out"
98.4,36,"Out"
95,18,"Hit - Not Home Run"
96.1,26,"Out"
99.2,18,"Hit - Not Home Run"
107.5,18,"Home Run"
73.2,54,"Hit - Not Home Run"
88,14,"Hit - Not Home Run"
82.9,-21,"Out"
82.9,-21,"Out"
72.6,-21,"Out"
86.8,-30,"Out"
111.7,25,"Home Run"
76.5,36,"Out"
89.2,45,"Out"
82.7,-24,"Out"
89,11,"Hit - Not Home Run"
88.6,-10,"Hit - Not Home Run"
92.8,25,"Out"
97.8,21,"Out"
86.9,21,"Hit - Not Home Run"
86,-16,"Out"
83.4,47,"Out"
74.7,44,"Out"
66.6,28,"Hit - Not Home Run"
89.6,9,"Hit - Not Home Run"
94.6,62,"Out"
108.2,11,"Hit - Not Home Run"
101.5,-2,"Hit - Not Home Run"
80.7,54,"Out"
97,-9,"Out"
68.8,-43,"Out"
100.3,-8,"Out"
101.9,9,"Hit - Not Home Run"
85.2,33,"Out"
96.7,44,"Out"
68.6,-22,"Out"
100.9,5,"Hit - Not Home Run"
81.5,39,"Out"
104.2,19,"Out"
100.4,22,"Out"
103.3,18,"Hit - Not Home Run"
97.4,36,"Out"
69.2,-23,"Out"
72.2,-34,"Out"
104,7,"Hit - Not Home Run"
81.1,57,"Out"
101.1,0,"Out"
80.7,-36,"Out"
100,28,"Out"
104.4,-1,"Out"
91.2,11,"Out"
92.7,6,"Out"
82.1,35,"Out"
89.2,39,"Out"
100.8,1,"Hit - Not Home Run"
93,-10,"Out"
80.4,57,"Out"
62.6,-29,"Out"
78.9,76,"Out"
103.4,-5,"Out"
88.9,23,"Out"
98.9,-3,"Hit - Not Home Run"
101.3,8,"Hit - Not Home Run"
101.4,13,"Hit - Not Home Run"
45.9,-30,"Out"
103.5,-3,"Hit - Not Home Run"
63.6,-6,"Out"
95.6,-4,"Out"
80,69,"Out"
87.3,-23,"Hit - Not Home Run"
98.8,3,"Out"
80.2,-7,"Out"
92.1,56,"Out"
103,1,"Hit - Not Home Run"
101.5,17,"Hit - Not Home Run"
75.8,29,"Out"
105.1,25,"Home Run"
69.3,31,"Hit - Not Home Run"
68.6,47,"Out"
85.9,21,"Out"
97.8,24,"Hit - Not Home Run"
97.2,10,"Hit - Not Home Run"
83.1,-2,"Hit - Not Home Run"
80,69,"Out"
100.1,40,"Out"
73.5,30,"Hit - Not Home Run"
71.5,57,"Out"
66.4,13,"Out"
98.2,47,"Out"
68.8,24,"Hit - Not Home Run"
80,69,"Out"
100.8,34,"Home Run"
97.4,3,"Hit - Not Home Run"
104.8,-6,"Hit - Not Home Run"
88.4,51,"Out"
72.6,-40,"Hit - Not Home Run"
96.7,54,"Out"
102.4,-11,"Out"
105,26,"Home Run"
82.9,-21,"Out"
82.9,-21,"Out"
101.9,18,"Out"
96.5,2,"Out"
71.5,-9,"Out"
95,-22,"Hit - Not Home Run"
93.2,8,"Hit - Not Home Run"
87.6,-12,"Out"
87.5,30,"Out"
91.4,33,"Out"
107.6,5,"Out"
98.7,-5,"Out"
62.9,63,"Out"
106.2,8,"Out"
92.1,3,"Out"
92.8,21,"Out"
58.2,8,"Out"
96.4,13,"Hit - Not Home Run"
90.5,8,"Hit - Not Home Run"
89.3,44,"Out"
96.7,29,"Out"
91.9,-8,"Out"
103.8,46,"Out"
102.1,22,"Out"
76.8,-32,"Out"
94.7,38,"Out"
99.7,8,"Hit - Not Home Run"
91.6,23,"Out"
67.5,-50,"Out"
63,-26,"Out"
76.8,-14,"Out"
92.8,40,"Out"
68.8,19,"Hit - Not Home Run"
82.9,-21,"Out"
95.5,-1,"Out"
101.5,15,"Hit - Not Home Run"
108.1,-3,"Hit - Not Home Run"
71.8,36,"Out"
79.3,37,"Out"
103.1,19,"Hit - Not Home Run"
91.6,43,"Out"
90.3,-17,"Hit - Not Home Run"
64,-13,"Hit - Not Home Run"
85.6,-7,"Out"
83.6,50,"Out"
106.5,2,"Out"
63.6,23,"Hit - Not Home Run"
56.7,13,"Out"
97.7,6,"Out"
80,69,"Out"
98.3,15,"Hit - Not Home Run"
91.8,33,"Out"
101.9,34,"Home Run"
99.3,16,"Out"
100.9,15,"Hit - Not Home Run"
80,69,"Out"
108.9,19,"Hit - Not Home Run"
94,57,"Out"
86.6,10,"Out"
101.7,9,"Out"
101.3,26,"Home Run"
89.3,41,"Out"
108.1,-12,"Out"
78.4,-32,"Out"
88.7,42,"Out"
86.1,20,"Out"
92.8,34,"Hit - Not Home Run"
92.6,16,"Hit - Not Home Run"
86.6,15,"Hit - Not Home Run"
110,7,"Hit - Not Home Run"
64.1,-70,"Out"
78.6,-22,"Out"
88.8,30,"Out"
96,14,"Hit - Not Home Run"
79.6,21,"Hit - Not Home Run"
59.8,14,"Out"
92.1,-23,"Out"
81.9,51,"Out"
95.7,9,"Out"
91.4,66,"Out"
104.5,-18,"Hit - Not Home Run"
101.5,-6,"Out"
95.7,11,"Hit - Not Home Run"
91.1,11,"Hit - Not Home Run"
95.9,-14,"Hit - Not Home Run"
109.5,9,"Hit - Not Home Run"
71.3,56,"Out"
97.9,8,"Hit - Not Home Run"
105.5,29,"Home Run"
74.9,43,"Out"
100.8,13,"Hit - Not Home Run"
97,-11,"Out"
111.8,15,"Hit - Not Home Run"
77,44,"Out"
109.9,32,"Home Run"
84.8,58,"Out"
102.9,16,"Out"
101,-9,"Out"
97.7,38,"Out"
89,-13,"Out"
46.5,37,"Out"
79,48,"Out"
91.4,19,"Out"
92.7,13,"Hit - Not Home Run"
93.2,11,"Hit - Not Home Run"
108.7,0,"Out"
103.8,13,"Hit - Not Home Run"
95.4,-16,"Hit - Not Home Run"
62.3,24,"Hit - Not Home Run"
58.9,-21,"Out"
80.2,-28,"Out"
92.7,-18,"Out"
94.2,25,"Out"
108.9,19,"Hit - Not Home Run"
87.4,39,"Out"
96.2,26,"Out"
84.9,7,"Hit - Not Home Run"
98.8,17,"Hit - Not Home Run"
100.4,10,"Hit - Not Home Run"
94.8,-3,"Out"
98.1,-13,"Out"
56.5,-62,"Out"
93.4,6,"Hit - Not Home Run"
102.6,-7,"Out"
88.4,26,"Out"
90.1,8,"Hit - Not Home Run"
92.1,55,"Out"
96.3,43,"Out"
101.8,23,"Out"
89.9,58,"Out"
90.2,21,"Hit - Not Home Run"
93.3,-1,"Out"
80.2,-7,"Hit - Not Home Run"
77.2,33,"Out"
76.9,73,"Out"
103.4,30,"Hit - Not Home Run"
76.2,-38,"Out"
102.6,5,"Out"
106.3,2,"Hit - Not Home Run"
58.5,-35,"Out"
99.7,14,"Hit - Not Home Run"
57.9,26,"Out"
82.9,-21,"Out"
79.3,26,"Out"
91.7,20,"Out"
99.8,7,"Hit - Not Home Run"
105.6,14,"Hit - Not Home Run"
104.2,18,"Hit - Not Home Run"
90.2,21,"Out"
61.8,-36,"Hit - Not Home Run"
61.2,-23,"Hit - Not Home Run"
83.5,35,"Out"
70.2,86,"Out"
77.1,19,"Hit - Not Home Run"
82.9,-21,"Out"
95.3,31,"Out"
70.1,-3,"Out"
98.8,28,"Out"
86.5,26,"Out"
91.5,63,"Out"
105.7,18,"Hit - Not Home Run"
67.9,-3,"Hit - Not Home Run"
103.6,-5,"Out"
81.5,-20,"Hit - Not Home Run"
108.3,14,"Hit - Not Home Run"
90.2,-16,"Out"
100.5,28,"Home Run"
94.4,22,"Out"
99.9,47,"Out"
82.9,-32,"Out"
86.8,33,"Out"
82.9,-21,"Out"
84,-8,"Out"
61.9,-25,"Out"
63.1,-14,"Hit - Not Home Run"
86.1,-32,"Out"
80.8,45,"Out"
92.2,32,"Out"
92.5,14,"Hit - Not Home Run"
56.5,-55,"Hit - Not Home Run"
107.7,-4,"Out"
71.2,32,"Out"
102.8,13,"Hit - Not Home Run"
112.4,19,"Home Run"
82.9,-21,"Out"
87.7,9,"Out"
110.7,7,"Hit - Not Home Run"
92,46,"Out"
98.8,6,"Hit - Not Home Run"
95.8,14,"Hit - Not Home Run"
89.1,-27,"Out"
101.6,25,"Out"
106.4,-15,"Out"
84.4,21,"Hit - Not Home Run"
76.1,-14,"Out"
99.9,1,"Out"
95,18,"Out"
78.7,64,"Out"
108.4,19,"Hit - Not Home Run"
65.1,-5,"Out"
103.1,1,"Hit - Not Home Run"
41.3,-18,"Out"
103.6,-16,"Out"
73.5,21,"Hit - Not Home Run"
98.9,4,"Out"
97.4,18,"Out"
90.5,7,"Hit - Not Home Run"
104,17,"Hit - Not Home Run"
80,69,"Out"
90.7,36,"Out"
99,25,"Out"
89.8,-17,"Hit - Not Home Run"
85.5,17,"Hit - Not Home Run"
79.9,12,"Hit - Not Home Run"
102,34,"Hit - Not Home Run"
90.2,14,"Hit - Not Home Run"
87.2,56,"Out"
104,5,"Hit - Not Home Run"
84.7,12,"Hit - Not Home Run"
81.2,13,"Out"
87.6,-10,"Out"
99,15,"Hit - Not Home Run"
61.7,37,"Out"
84.7,40,"Out"
101,0,"Out"
97.2,33,"Out"
92.1,-20,"Hit - Not Home Run"
102.9,10,"Hit - Not Home Run"
84,-2,"Out"
102,28,"Home Run"
98.6,33,"Hit - Not Home Run"
81.4,5,"Out"
102.9,21,"Out"
98.3,24,"Hit - Not Home Run"
94.5,1,"Out"
98.3,-16,"Hit - Not Home Run"
58.7,35,"Out"
92.7,7,"Out"
62.7,22,"Hit - Not Home Run"
60.2,-13,"Out"
68.5,22,"Hit - Not Home Run"
97.7,36,"Out"
89.8,30,"Out"
98.7,29,"Out"
68.2,14,"Out"
94.3,50,"Out"
107.2,6,"Hit - Not Home Run"
80,69,"Out"
104.8,35,"Out"
64.3,-26,"Out"
76.9,16,"Hit - Not Home Run"
62,11,"Out"
66.9,36,"Hit - Not Home Run"
82.2,12,"Hit - Not Home Run"
96.8,15,"Hit - Not Home Run"
103.7,8,"Out"
75.5,-25,"Out"
59,29,"Hit - Not Home Run"
85.5,49,"Out"
110.7,-6,"Hit - Not Home Run"
74.1,24,"Hit - Not Home Run"
103,39,"Home Run"
83.7,-33,"Out"
97.8,10,"Hit - Not Home Run"
104.2,6,"Hit - Not Home Run"
103.6,13,"Hit - Not Home Run"
85,18,"Out"
69,-40,"Out"
80,69,"Out"
100.9,-4,"Hit - Not Home Run"
74.4,6,"Out"
102.8,-1,"Hit - Not Home Run"
104.9,24,"Hit - Not Home Run"
67.7,48,"Hit - Not Home Run"
103.1,15,"Hit - Not Home Run"
100.1,49,"Out"
64.8,-55,"Out"
86.2,-20,"Out"
89.1,54,"Out"
59.8,16,"Out"
82.9,-21,"Out"
84.5,45,"Out"
82.9,-21,"Out"
85.2,16,"Hit - Not Home Run"
89.4,5,"Out"
85.4,74,"Out"
101.1,22,"Hit - Not Home Run"
78.5,57,"Out"
108.2,27,"Home Run"
82.9,-21,"Out"
95.9,39,"Out"
92.2,37,"Out"
73.8,56,"Out"
106.8,11,"Hit - Not Home Run"
99.8,15,"Out"
59,0,"Out"
88.1,22,"Out"
104.6,35,"Home Run"
106.6,36,"Out"
78.9,48,"Out"
89.3,7,"Out"
97.3,26,"Out"
95.4,-9,"Hit - Not Home Run"
96.6,-4,"Out"
93.9,45,"Out"
74.5,-26,"Out"
107.1,-8,"Out"
88.8,14,"Hit - Not Home Run"
85.3,42,"Out"
89.4,24,"Out"
87,-11,"Out"
90.7,-13,"Out"
94.7,54,"Out"
90.3,-17,"Hit - Not Home Run"
82.9,-21,"Out"
94.3,13,"Hit - Not Home Run"
96.4,29,"Out"
91.9,23,"Out"
86.2,44,"Out"
82.3,26,"Out"
82.4,59,"Out"
68,2,"Out"
99.4,-9,"Out"
61.7,14,"Out"
102.2,12,"Hit - Not Home Run"
109.4,25,"Home Run"
94.5,83,"Out"
32.7,-21,"Out"
51.2,18,"Out"
88.2,25,"Out"
70.2,25,"Hit - Not Home Run"
100.9,18,"Hit - Not Home Run"
88.9,27,"Hit - Not Home Run"
82.3,7,"Out"
89.8,21,"Out"
89.8,35,"Out"
101.6,24,"Hit - Not Home Run"
87.9,-19,"Out"
105.5,-6,"Hit - Not Home Run"
103.2,-1,"Hit - Not Home Run"
91.5,-19,"Out"
97.4,20,"Out"
87.9,19,"Out"
96.7,40,"Out"
79.3,57,"Out"
93.1,9,"Hit - Not Home Run"
99.6,6,"Out"
104.2,-3,"Out"
99.8,17,"Hit - Not Home Run"
82.9,-21,"Out"
79.8,28,"Out"
90.4,1,"Out"
67,-15,"Out"
87.1,-11,"Out"
91.6,15,"Hit - Not Home Run"
98.4,-10,"Hit - Not Home Run"
75.3,16,"Hit - Not Home Run"
83.4,25,"Out"
93.4,6,"Hit - Not Home Run"
87.6,26,"Out"
74.2,58,"Out"
77.6,-19,"Hit - Not Home Run"
96.2,34,"Out"
94,-11,"Out"
72,-16,"Out"
70.8,26,"Hit - Not Home Run"
82.5,23,"Out"
89.2,39,"Out"
90.3,-17,"Hit - Not Home Run"
80,69,"Out"
98,32,"Out"
106.5,-1,"Hit - Not Home Run"
80,69,"Out"
87.7,45,"Out"
92.2,-16,"Hit - Not Home Run"
93,50,"Out"
101.6,16,"Out"
89.8,45,"Out"
102.8,-6,"Hit - Not Home Run"
97.3,6,"Hit - Not Home Run"
98.7,35,"Hit - Not Home Run"
106.8,-20,"Out"
73.2,-22,"Out"
85.6,4,"Hit - Not Home Run"
95.6,10,"Hit - Not Home Run"
86.3,59,"Out"
69.9,-49,"Out"
95.3,32,"Out"
78.6,40,"Out"
85.3,20,"Hit - Not Home Run"
99.6,-8,"Hit - Not Home Run"
99.1,25,"Home Run"
82.9,-21,"Out"
103,9,"Hit - Not Home Run"
74.7,29,"Out"
80,69,"Out"
96.4,11,"Hit - Not Home Run"
98.3,-1,"Out"
89.1,37,"Out"
65,-8,"Out"
65.9,-45,"Out"
40,-36,"Hit - Not Home Run"
88.8,0,"Hit - Not Home Run"
81.4,-21,"Out"
90.9,28,"Hit - Not Home Run"
80,69,"Out"
67.3,-4,"Out"
97.9,1,"Hit - Not Home Run"
92.3,6,"Hit - Not Home Run"
74,4,"Out"
86.8,58,"Out"
100.3,25,"Hit - Not Home Run"
107.2,-2,"Out"
95.7,-7,"Out"
96.1,36,"Out"
102,1,"Out"
99.9,17,"Hit - Not Home Run"
108.9,22,"Home Run"
100.9,-15,"Out"
76.2,53,"Out"
91.7,3,"Out"
64.8,-26,"Out"
97.4,-13,"Out"
99.6,8,"Hit - Not Home Run"
82.9,-21,"Out"
54.5,-32,"Out"
92.8,3,"Hit - Not Home Run"
49.1,-14,"Out"
77.4,-10,"Hit - Not Home Run"
96.8,-11,"Out"
70,1,"Out"
63.7,43,"Hit - Not Home Run"
101.4,1,"Hit - Not Home Run"
81.7,11,"Hit - Not Home Run"
88,29,"Out"
103,-3,"Out"
92.7,11,"Hit - Not Home Run"
98,7,"Hit - Not Home Run"
101.4,1,"Hit - Not Home Run"
92.4,14,"Hit - Not Home Run"
101.1,5,"Hit - Not Home Run"
102.6,25,"Home Run"
92.7,47,"Out"
86.9,-4,"Out"
97.4,-8,"Hit - Not Home Run"
83.6,35,"Out"
75.3,3,"Hit - Not Home Run"
80,69,"Out"
101.9,33,"Home Run"
73.7,-11,"Out"
80,69,"Out"
85.7,0,"Out"
103.9,26,"Home Run"
85,25,"Out"
97.3,22,"Hit - Not Home Run"
104,-14,"Hit - Not Home Run"
83.2,25,"Out"
102.4,-7,"Hit - Not Home Run"
79.7,17,"Hit - Not Home Run"
80.4,-31,"Out"
62.9,-15,"Out"
100.3,5,"Hit - Not Home Run"
102.4,29,"Hit - Not Home Run"
77.5,-39,"Out"
79.5,27,"Out"
93.5,6,"Out"
70.5,-22,"Out"
81,51,"Hit - Not Home Run"
100.2,36,"Home Run"
71.6,-17,"Out"
82.6,14,"Hit - Not Home Run"
94.5,-11,"Out"
100.4,22,"Home Run"
73.8,-4,"Out"
108,9,"Hit - Not Home Run"
100.9,-13,"Hit - Not Home Run"
86.6,1,"Out"
87.9,23,"Out"
87.4,-17,"Out"
87.5,16,"Hit - Not Home Run"
96.6,-7,"Out"
98.8,-15,"Out"
74,17,"Hit - Not Home Run"
96,-19,"Out"
102.4,9,"Hit - Not Home Run"
88,19,"Hit - Not Home Run"
111.5,12,"Hit - Not Home Run"
97.1,15,"Out"
99.3,24,"Home Run"
101.9,7,"Hit - Not Home Run"
60,-27,"Out"
92.6,30,"Out"
80.5,3,"Hit - Not Home Run"
102.1,14,"Hit - Not Home Run"
93.4,30,"Out"
73.1,25,"Hit - Not Home Run"
80,69,"Out"
87,-3,"Out"
85.4,40,"Out"
107.2,10,"Out"
88.7,5,"Hit - Not Home Run"
89.5,31,"Out"
92.1,22,"Hit - Not Home Run"
105.6,-7,"Out"
64.2,-22,"Out"
95.9,8,"Out"
95.8,20,"Hit - Not Home Run"
101.7,32,"Hit - Not Home Run"
67.4,22,"Hit - Not Home Run"
84.6,46,"Out"
80.1,37,"Out"
80,69,"Out"
73,56,"Out"
95,58,"Out"
78.6,-24,"Out"
99,19,"Out"
104.7,49,"Out"
90.4,37,"Out"
90.3,8,"Out"
79.3,6,"Out"
101.4,32,"Out"
76.1,18,"Hit - Not Home Run"
93.4,43,"Out"
93.2,17,"Hit - Not Home Run"
96.4,-8,"Out"
79.9,-25,"Out"
110.4,20,"Home Run"
106.1,28,"Home Run"
80,69,"Out"
84.9,5,"Hit - Not Home Run"
86.5,17,"Hit - Not Home Run"
56,-1,"Out"
87.2,45,"Out"
98.5,4,"Hit - Not Home Run"
82.9,-21,"Out"
89.2,39,"Out"
102.6,28,"Home Run"
94.2,47,"Out"
90.9,28,"Out"
96.1,1,"Out"
87.8,56,"Out"
94.4,31,"Home Run"
99.2,37,"Home Run"
82.4,36,"Out"
95.1,31,"Out"
93,-2,"Out"
94.1,9,"Hit - Not Home Run"
78.6,-13,"Out"
106.6,31,"Home Run"
105.7,2,"Hit - Not Home Run"
86.9,28,"Out"
79.4,60,"Out"
105.2,22,"Hit - Not Home Run"
89.6,41,"Out"
93,17,"Hit - Not Home Run"
102.6,28,"Home Run"
85,-3,"Hit - Not Home Run"
104.3,46,"Out"
86.9,28,"Out"
106.4,10,"Hit - Not Home Run"
91.7,28,"Out"
97.9,37,"Out"
105.9,73,"Out"
86.8,41,"Out"
102.7,30,"Home Run"
80,69,"Out"
106.1,20,"Hit - Not Home Run"
21.9,-10,"Out"
91.9,27,"Out"
100.3,6,"Out"
83.6,12,"Hit - Not Home Run"
84.7,8,"Out"
80,69,"Out"
103.1,-6,"Hit - Not Home Run"
80,69,"Out"
87.8,40,"Out"
102.3,10,"Hit - Not Home Run"
88.9,5,"Out"
97.5,10,"Hit - Not Home Run"
80,69,"Out"
91.3,-5,"Hit - Not Home Run"
82.9,-21,"Out"
93.4,-5,"Out"
97,44,"Out"
96.5,-2,"Out"
96,15,"Hit - Not Home Run"
87.6,52,"Out"
90.8,26,"Out"
104.8,13,"Hit - Not Home Run"
92.4,23,"Out"
99,6,"Hit - Not Home Run"
83.5,18,"Hit - Not Home Run"
82.1,26,"Out"
106.7,17,"Out"
99.4,3,"Hit - Not Home Run"
62.5,24,"Out"
104.2,9,"Hit - Not Home Run"
98.9,29,"Out"
67.2,-15,"Out"
74.8,-1,"Out"
74.8,-6,"Out"
80.5,-38,"Out"
96.7,11,"Hit - Not Home Run"
86.5,1,"Out"
102.1,3,"Out"
107.1,7,"Hit - Not Home Run"
95.4,3,"Hit - Not Home Run"
77.8,28,"Hit - Not Home Run"
46.6,-58,"Out"
98.1,39,"Out"
75.8,37,"Out"
80,69,"Out"
101.8,29,"Home Run"
90.9,35,"Hit - Not Home Run"
80,69,"Out"
90.5,1,"Out"
67.4,28,"Hit - Not Home Run"
74.2,-23,"Hit - Not Home Run"
88.5,43,"Out"
89.9,4,"Hit - Not Home Run"
90.3,-1,"Hit - Not Home Run"
87.2,-13,"Out"
91.2,30,"Out"
87,-18,"Out"
86.9,17,"Hit - Not Home Run"
97.8,16,"Out"
83.1,41,"Out"
92.1,18,"Out"
82.9,-21,"Out"
104.1,10,"Hit - Not Home Run"
75.8,26,"Hit - Not Home Run"
85.9,-23,"Out"
86.6,26,"Out"
100.7,13,"Hit - Not Home Run"
92.5,32,"Out"
73.5,64,"Out"
54.7,-24,"Hit - Not Home Run"
89.1,33,"Out"
96.2,17,"Hit - Not Home Run"
86.7,33,"Out"
111,29,"Home Run"
76.5,4,"Hit - Not Home Run"
96.2,10,"Hit - Not Home Run"
72.5,35,"Hit - Not Home Run"
91.6,-12,"Out"
101.2,6,"Out"
94.4,-8,"Out"
82.9,-21,"Out"
80,69,"Out"
83.3,35,"Out"
106.6,29,"Home Run"
91.1,-2,"Out"
91.4,14,"Hit - Not Home Run"
91.5,-26,"Out"
82.4,3,"Out"
65.1,45,"Out"
82.4,62,"Out"
75.8,30,"Out"
73,27,"Hit - Not Home Run"
101.6,15,"Hit - Not Home Run"
104.7,-5,"Hit - Not Home Run"
84.6,8,"Out"
78.6,-8,"Out"
102.5,18,"Out"
100.8,7,"Hit - Not Home Run"
104.9,-1,"Hit - Not Home Run"
82.6,39,"Out"
82.1,-3,"Out"
83.4,-15,"Out"
96.1,26,"Out"
77.3,-23,"Out"
90.2,56,"Out"
68.7,50,"Out"
96.5,46,"Out"
76,36,"Out"
73.7,16,"Out"
96.9,44,"Out"
106.2,20,"Out"
33.9,-21,"Out"
111.2,25,"Home Run"
103.9,19,"Out"
96.1,20,"Hit - Not Home Run"
72.4,-49,"Out"
73.6,38,"Hit - Not Home Run"
81.6,22,"Hit - Not Home Run"
74.9,-2,"Out"
99.2,9,"Hit - Not Home Run"
101,27,"Home Run"
103.8,27,"Hit - Not Home Run"
97.7,-10,"Out"
76.6,27,"Hit - Not Home Run"
97.9,7,"Hit - Not Home Run"
48.4,-26,"Out"
91.1,18,"Out"
80,69,"Out"
87.4,-27,"Out"
80,69,"Out"
89.9,-2,"Hit - Not Home Run"
75.7,-37,"Out"
97.2,27,"Out"
80,69,"Out"
94.8,-60,"Hit - Not Home Run"
83.2,16,"Hit - Not Home Run"
107.7,28,"Home Run"
109.8,12,"Hit - Not Home Run"
92.9,-24,"Hit - Not Home Run"
89.7,-4,"Hit - Not Home Run"
99.3,10,"Hit - Not Home Run"
82,24,"Out"
92.9,20,"Hit - Not Home Run"
108.6,11,"Hit - Not Home Run"
100.9,15,"Hit - Not Home Run"
82.7,-1,"Hit - Not Home Run"
86,15,"Hit - Not Home Run"
77.9,31,"Out"
84,32,"Out"
92.1,16,"Hit - Not Home Run"
75.6,14,"Out"
97,-2,"Out"
85.4,26,"Out"
80,69,"Out"
70.2,46,"Hit - Not Home Run"
59.4,-13,"Hit - Not Home Run"
81.2,47,"Out"
80.2,22,"Hit - Not Home Run"
95,-13,"Out"
80,69,"Out"
86.9,42,"Out"
86.6,59,"Out"
91.9,28,"Out"
86.8,-18,"Out"
97.6,7,"Out"
86.3,34,"Out"
95.7,19,"Out"
92.4,6,"Hit - Not Home Run"
82.9,-21,"Out"
98.2,-16,"Hit - Not Home Run"
105.6,12,"Hit - Not Home Run"
78.1,12,"Hit - Not Home Run"
74.2,-16,"Out"
100.1,0,"Hit - Not Home Run"
80,69,"Out"
56.4,37,"Hit - Not Home Run"
89.2,47,"Out"
96.7,50,"Out"
71.4,13,"Out"
73.8,28,"Hit - Not Home Run"
92.2,48,"Out"
102.9,6,"Out"
85.4,-14,"Hit - Not Home Run"
50.5,-26,"Out"
82.9,-21,"Out"
